 ,gene_class
Cluster 0,accessory
Cluster 1,accessory
Cluster 2,unique
Cluster 3,unique
Cluster 4,core
Cluster 5,core
Cluster 6,unique
Cluster 7,core
Cluster 8,accessory
Cluster 9,unique
Cluster 10,accessory
Cluster 11,unique
Cluster 12,accessory
Cluster 13,unique
Cluster 14,unique
Cluster 15,unique
Cluster 16,accessory
Cluster 17,accessory
Cluster 18,unique
Cluster 19,unique
Cluster 20,accessory
Cluster 21,unique
Cluster 22,unique
Cluster 23,accessory
Cluster 24,unique
Cluster 25,unique
Cluster 26,core
Cluster 27,core
Cluster 28,unique
Cluster 29,core
Cluster 30,core
Cluster 31,unique
Cluster 32,unique
Cluster 33,unique
Cluster 34,unique
Cluster 35,unique
Cluster 36,accessory
Cluster 37,unique
Cluster 38,core
Cluster 39,unique
Cluster 40,core
Cluster 41,unique
Cluster 42,unique
Cluster 43,unique
Cluster 44,accessory
Cluster 45,unique
Cluster 46,unique
Cluster 47,accessory
Cluster 48,unique
Cluster 49,accessory
Cluster 50,unique
Cluster 51,unique
Cluster 52,unique
Cluster 53,unique
Cluster 54,accessory
Cluster 55,unique
Cluster 56,unique
Cluster 57,accessory
Cluster 58,unique
Cluster 59,core
Cluster 60,accessory
Cluster 61,accessory
Cluster 62,unique
Cluster 63,core
Cluster 64,accessory
Cluster 65,unique
Cluster 66,unique
Cluster 67,unique
Cluster 68,unique
Cluster 69,unique
Cluster 70,unique
Cluster 71,accessory
Cluster 72,unique
Cluster 73,core
Cluster 74,unique
Cluster 75,accessory
Cluster 76,accessory
Cluster 77,unique
Cluster 78,core
Cluster 79,unique
Cluster 80,accessory
Cluster 81,unique
Cluster 82,core
Cluster 83,core
Cluster 84,accessory
Cluster 85,unique
Cluster 86,unique
Cluster 87,core
Cluster 88,unique
Cluster 89,accessory
Cluster 90,core
Cluster 91,unique
Cluster 92,core
Cluster 93,core
Cluster 94,core
Cluster 95,unique
Cluster 96,core
Cluster 97,core
Cluster 98,accessory
Cluster 99,accessory
Cluster 100,unique
Cluster 101,unique
Cluster 102,core
Cluster 103,accessory
Cluster 104,unique
Cluster 105,core
Cluster 106,accessory
Cluster 107,core
Cluster 108,unique
Cluster 109,unique
Cluster 110,unique
Cluster 111,accessory
Cluster 112,unique
Cluster 113,unique
Cluster 114,unique
Cluster 115,unique
Cluster 116,unique
Cluster 117,accessory
Cluster 118,core
Cluster 119,core
Cluster 120,core
Cluster 121,unique
Cluster 122,unique
Cluster 123,accessory
Cluster 124,accessory
Cluster 125,unique
Cluster 126,unique
Cluster 127,core
Cluster 128,unique
Cluster 129,unique
Cluster 130,unique
Cluster 131,accessory
Cluster 132,accessory
Cluster 133,unique
Cluster 134,unique
Cluster 135,core
Cluster 136,unique
Cluster 137,unique
Cluster 138,unique
Cluster 139,core
Cluster 140,core
Cluster 141,unique
Cluster 142,core
Cluster 143,core
Cluster 144,core
Cluster 145,unique
Cluster 146,unique
Cluster 147,unique
Cluster 148,accessory
Cluster 149,unique
Cluster 150,accessory
Cluster 151,core
Cluster 152,unique
Cluster 153,core
Cluster 154,unique
Cluster 155,core
Cluster 156,unique
Cluster 157,core
Cluster 158,unique
Cluster 159,unique
Cluster 160,accessory
Cluster 161,core
Cluster 162,unique
Cluster 163,core
Cluster 164,accessory
Cluster 165,core
Cluster 166,accessory
Cluster 167,unique
Cluster 168,unique
Cluster 169,unique
Cluster 170,unique
Cluster 171,accessory
Cluster 172,accessory
Cluster 173,unique
Cluster 174,core
Cluster 175,core
Cluster 176,accessory
Cluster 177,core
Cluster 178,unique
Cluster 179,core
Cluster 180,unique
Cluster 181,unique
Cluster 182,unique
Cluster 183,unique
Cluster 184,unique
Cluster 185,core
Cluster 186,unique
Cluster 187,accessory
Cluster 188,unique
Cluster 189,core
Cluster 190,core
Cluster 191,core
Cluster 192,unique
Cluster 193,core
Cluster 194,unique
Cluster 195,unique
Cluster 196,unique
Cluster 197,unique
Cluster 198,unique
Cluster 199,unique
Cluster 200,unique
Cluster 201,unique
Cluster 202,accessory
Cluster 203,accessory
Cluster 204,unique
Cluster 205,unique
Cluster 206,core
Cluster 207,unique
Cluster 208,unique
Cluster 209,unique
Cluster 210,unique
Cluster 211,unique
Cluster 212,unique
Cluster 213,unique
Cluster 214,unique
Cluster 215,unique
Cluster 216,core
Cluster 217,unique
Cluster 218,unique
Cluster 219,core
Cluster 220,accessory
Cluster 221,core
Cluster 222,accessory
Cluster 223,unique
Cluster 224,core
Cluster 225,unique
Cluster 226,unique
Cluster 227,unique
Cluster 228,unique
Cluster 229,core
Cluster 230,unique
Cluster 231,core
Cluster 232,unique
Cluster 233,unique
Cluster 234,accessory
Cluster 235,unique
Cluster 236,core
Cluster 237,core
Cluster 238,core
Cluster 239,accessory
Cluster 240,unique
Cluster 241,unique
Cluster 242,unique
Cluster 243,core
Cluster 244,unique
Cluster 245,accessory
Cluster 246,accessory
Cluster 247,unique
Cluster 248,core
Cluster 249,unique
Cluster 250,core
Cluster 251,core
Cluster 252,unique
Cluster 253,unique
Cluster 254,unique
Cluster 255,unique
Cluster 256,core
Cluster 257,unique
Cluster 258,unique
Cluster 259,accessory
Cluster 260,unique
Cluster 261,unique
Cluster 262,unique
Cluster 263,unique
Cluster 264,unique
Cluster 265,unique
Cluster 266,unique
Cluster 267,unique
Cluster 268,unique
Cluster 269,unique
Cluster 270,unique
Cluster 271,unique
Cluster 272,core
Cluster 273,accessory
Cluster 274,unique
Cluster 275,core
Cluster 276,unique
Cluster 277,unique
Cluster 278,unique
Cluster 279,unique
Cluster 280,unique
Cluster 281,unique
Cluster 282,accessory
Cluster 283,core
Cluster 284,core
Cluster 285,accessory
Cluster 286,core
Cluster 287,unique
Cluster 288,accessory
Cluster 289,unique
Cluster 290,unique
Cluster 291,unique
Cluster 292,unique
Cluster 293,unique
Cluster 294,accessory
Cluster 295,accessory
Cluster 296,accessory
Cluster 297,unique
Cluster 298,core
Cluster 299,accessory
Cluster 300,unique
Cluster 301,unique
Cluster 302,core
Cluster 303,accessory
Cluster 304,unique
Cluster 305,core
Cluster 306,core
Cluster 307,unique
Cluster 308,accessory
Cluster 309,unique
Cluster 310,accessory
Cluster 311,core
Cluster 312,unique
Cluster 313,unique
Cluster 314,accessory
Cluster 315,unique
Cluster 316,accessory
Cluster 317,unique
Cluster 318,unique
Cluster 319,unique
Cluster 320,accessory
Cluster 321,unique
Cluster 322,unique
Cluster 323,accessory
Cluster 324,unique
Cluster 325,unique
Cluster 326,accessory
Cluster 327,unique
Cluster 328,unique
Cluster 329,core
Cluster 330,accessory
Cluster 331,unique
Cluster 332,unique
Cluster 333,unique
Cluster 334,unique
Cluster 335,unique
Cluster 336,unique
Cluster 337,unique
Cluster 338,accessory
Cluster 339,unique
Cluster 340,core
Cluster 341,unique
Cluster 342,unique
Cluster 343,core
Cluster 344,unique
Cluster 345,core
Cluster 346,unique
Cluster 347,core
Cluster 348,core
