,log_odds
Cluster 0-Cluster 80,1.32930742974628
Cluster 0-Cluster 187,1.2743764449159052
Cluster 0-Cluster 383,1.149281687849814
Cluster 0-Cluster 394,1.2703651831434948
Cluster 0-Cluster 742,1.2703651831434948
Cluster 0-Cluster 1047,1.2703651831434948
Cluster 0-Cluster 1191,1.2207583590675068
Cluster 0-Cluster 1260,1.1981868672588922
Cluster 0-Cluster 1580,1.3787272330624187
Cluster 0-Cluster 1648,1.2743764449159052
Cluster 0-Cluster 1796,1.2474111534234207
Cluster 0-Cluster 2261,1.127599825541362
Cluster 0-Cluster 2462,1.1617911902896414
Cluster 0-Cluster 2923,1.2207583590675068
Cluster 0-Cluster 2939,0.9100879595155016
Cluster 0-Cluster 3145,1.2207583590675068
Cluster 0-Cluster 3175,1.2970179774994088
Cluster 0-Cluster 3193,1.190461311906681
Cluster 0-Cluster 3290,1.2970179774994088
Cluster 0-Cluster 3440,1.2970179774994088
Cluster 0-Cluster 3504,1.1282969781370802
Cluster 0-Cluster 3542,1.2743764449159052
Cluster 0-Cluster 3778,0.8808888048232392
Cluster 0-Cluster 4259,1.2474111534234207
Cluster 0-Cluster 4378,1.2703651831434948
Cluster 0-Cluster 4515,1.2970179774994088
Cluster 0-Cluster 4894,1.1188149959856293
Cluster 0-Cluster 5224,1.2703651831434948
Cluster 0-Cluster 5481,1.5229125621855084
Cluster 0-Cluster 5602,1.2251521587513767
Cluster 0-Cluster 5652,1.2703651831434948
Cluster 0-Cluster 5766,1.2703651831434948
Cluster 0-Cluster 5767,1.2703651831434948
Cluster 0-Cluster 5797,1.2970179774994088
Cluster 0-Cluster 6380,1.2703651831434948
Cluster 0-Cluster 6568,1.0490811092739585
Cluster 0-Cluster 6845,1.252445457776714
Cluster 0-Cluster 6980,1.1981868672588922
Cluster 1-Cluster 18,0.7928028316237721
Cluster 1-Cluster 510,0.7928028316237721
Cluster 1-Cluster 916,-2.20164656811733
Cluster 1-Cluster 1271,0.7928028316237721
Cluster 1-Cluster 5034,0.7928028316237721
Cluster 1-Cluster 6780,0.7928028316237721
Cluster 2-Cluster 170,0.10414025925259682
Cluster 2-Cluster 424,0.10414025925259682
Cluster 2-Cluster 655,0.10414025925259682
Cluster 2-Cluster 951,0.10414025925259682
Cluster 2-Cluster 1196,0.8027669055771679
Cluster 2-Cluster 1221,0.8027669055771679
Cluster 2-Cluster 1277,-0.8275343712683638
Cluster 2-Cluster 1301,0.10414025925259682
Cluster 2-Cluster 1854,0.10414025925259682
Cluster 2-Cluster 2764,0.10414025925259682
Cluster 2-Cluster 3253,0.10414025925259682
Cluster 2-Cluster 5648,0.10414025925259682
Cluster 2-Cluster 6828,0.10414025925259682
Cluster 2-Cluster 7487,0.10414025925259682
Cluster 2-Cluster 7612,0.10414025925259682
Cluster 3-Cluster 650,-0.31124425303029435
Cluster 3-Cluster 670,-0.31124425303029435
Cluster 3-Cluster 1049,-0.31124425303029435
Cluster 3-Cluster 1120,-0.31124425303029435
Cluster 3-Cluster 1144,-0.31124425303029435
Cluster 3-Cluster 2126,-0.31124425303029435
Cluster 3-Cluster 2564,-0.31124425303029435
Cluster 3-Cluster 3151,-0.31124425303029435
Cluster 3-Cluster 3372,-0.31124425303029435
Cluster 3-Cluster 3871,0.7928028316237721
Cluster 3-Cluster 4058,-0.31124425303029435
Cluster 3-Cluster 4673,-0.31124425303029435
Cluster 3-Cluster 4699,-0.31124425303029435
Cluster 3-Cluster 4856,-0.31124425303029435
Cluster 3-Cluster 5065,-0.31124425303029435
Cluster 3-Cluster 5093,-0.31124425303029435
Cluster 3-Cluster 5210,-0.31124425303029435
