,log_odds
Cluster 0,1.2703651831434948
Cluster 1,-1.2202728010709136
Cluster 2,0.10414025925259682
Cluster 3,-0.31124425303029435
Cluster 4,0.31124425303029457
Cluster 5,0.31124425303029457
Cluster 6,0.10414025925259682
Cluster 7,1.1695011272072176
Cluster 8,1.873997567465027
Cluster 9,-0.8275343712683638
Cluster 10,-2.0655467533610197
Cluster 11,-0.8275343712683638
Cluster 12,-1.6520742110291542
Cluster 13,-1.0166951662002228
Cluster 14,-1.4263404314200936
Cluster 15,-1.1695011272072176
Cluster 16,-1.1600596172360083
Cluster 17,0.806229742311682
Cluster 18,0.5827382053562769
Cluster 19,2.4264843556678652
Cluster 20,-0.20972053098206903
Cluster 21,-0.8275343712683638
Cluster 22,0.8027669055771679
Cluster 23,-3.680230116067384
Cluster 24,-2.20164656811733
Cluster 25,-1.8300050482231298
Cluster 26,-0.7928028316237721
Cluster 27,-0.7928028316237721
Cluster 28,-1.4263404314200936
Cluster 29,0.8275343712683639
Cluster 30,0.31124425303029457
Cluster 31,-0.31124425303029435
Cluster 32,0.10414025925259682
Cluster 33,-0.8275343712683638
Cluster 34,-0.8275343712683638
Cluster 35,-0.31124425303029435
Cluster 36,-2.46080909820894
Cluster 37,-0.31124425303029435
Cluster 38,-0.8027669055771678
Cluster 39,-1.0387141470870407
Cluster 40,-0.7928028316237721
Cluster 41,-0.31124425303029435
Cluster 42,-0.31124425303029435
Cluster 43,-0.31124425303029435
Cluster 44,0.48509637780017156
Cluster 45,0.10414025925259682
Cluster 46,-1.6325666967268466
Cluster 47,2.0251726871797207
Cluster 48,-0.31124425303029435
Cluster 49,-1.527706015169719
Cluster 50,-0.31124425303029435
Cluster 51,-0.31124425303029435
Cluster 52,-0.31124425303029435
Cluster 53,-2.0553439901007753
Cluster 54,0.9328200338253657
Cluster 55,-0.31124425303029435
Cluster 56,-2.20164656811733
Cluster 57,0.6000567574939334
Cluster 58,-0.31124425303029435
Cluster 59,-0.7928028316237721
Cluster 60,0.08260352853521001
Cluster 61,-4.138402949656175
Cluster 62,-1.4391578506769585
Cluster 63,0.31124425303029457
Cluster 64,-2.7305899603314807
Cluster 65,-1.3156767939059373
Cluster 66,-0.31124425303029435
Cluster 67,1.9034634588080563
Cluster 68,-1.0387141470870407
Cluster 69,-1.8052073880986528
Cluster 70,0.8027669055771679
Cluster 71,1.8052073880986528
