, ,Number of genomes
0,Cluster 0,2
1,Cluster 1,1
2,Cluster 2,1
3,Cluster 3,5
4,Cluster 4,1
5,Cluster 5,2
6,Cluster 6,2
7,Cluster 7,3
8,Cluster 8,1
9,Cluster 9,1
10,Cluster 10,1
11,Cluster 11,1
12,Cluster 12,17
13,Cluster 13,3
14,Cluster 14,59
15,Cluster 15,1
16,Cluster 16,1
17,Cluster 17,4
18,Cluster 18,18
19,Cluster 19,2
20,Cluster 20,1
21,Cluster 21,11
22,Cluster 22,2
23,Cluster 23,38
24,Cluster 24,10
25,Cluster 25,2
26,Cluster 26,1
27,Cluster 27,1
28,Cluster 28,45
29,Cluster 29,14
30,Cluster 30,2
31,Cluster 31,100
32,Cluster 32,2
33,Cluster 33,1
34,Cluster 34,10
35,Cluster 35,12
36,Cluster 36,4
37,Cluster 37,659
38,Cluster 38,4
39,Cluster 39,1
40,Cluster 40,15
41,Cluster 41,306
42,Cluster 42,1
43,Cluster 43,1
44,Cluster 44,44
45,Cluster 45,156
46,Cluster 46,105
47,Cluster 47,8
48,Cluster 48,20
49,Cluster 49,13
50,Cluster 50,8
51,Cluster 51,2
52,Cluster 52,14
53,Cluster 53,28
54,Cluster 54,1
55,Cluster 55,1
56,Cluster 56,22
57,Cluster 57,1
58,Cluster 58,2
59,Cluster 59,5
60,Cluster 60,2
61,Cluster 61,1
62,Cluster 62,1
63,Cluster 63,215
64,Cluster 64,1
65,Cluster 65,20
66,Cluster 66,11
67,Cluster 67,1
68,Cluster 68,1
69,Cluster 69,1
70,Cluster 70,1
71,Cluster 71,5
72,Cluster 72,1
73,Cluster 73,1
74,Cluster 74,1
75,Cluster 75,11
76,Cluster 76,3
77,Cluster 77,3
78,Cluster 78,1
79,Cluster 79,2
80,Cluster 80,5
81,Cluster 81,2
82,Cluster 82,1
83,Cluster 83,1
84,Cluster 84,1
85,Cluster 85,155
86,Cluster 86,1
87,Cluster 87,3
88,Cluster 88,512
89,Cluster 89,5
90,Cluster 90,2
91,Cluster 91,8
92,Cluster 92,2
93,Cluster 93,2
94,Cluster 94,9
95,Cluster 95,1
96,Cluster 96,2
97,Cluster 97,1
98,Cluster 98,1
99,Cluster 99,48
100,Cluster 100,2
101,Cluster 101,16
102,Cluster 102,22
103,Cluster 103,2
104,Cluster 104,1
105,Cluster 105,1
106,Cluster 106,112
107,Cluster 107,378
108,Cluster 108,89
109,Cluster 109,2
110,Cluster 110,2
111,Cluster 111,3
112,Cluster 112,15
113,Cluster 113,2
114,Cluster 114,2
115,Cluster 115,2
116,Cluster 116,3
117,Cluster 117,1
118,Cluster 118,16
119,Cluster 119,2
120,Cluster 120,32
121,Cluster 121,2
122,Cluster 122,1
123,Cluster 123,1
124,Cluster 124,7
125,Cluster 125,106
126,Cluster 126,402
127,Cluster 127,1
128,Cluster 128,4
129,Cluster 129,2
130,Cluster 130,18
131,Cluster 131,6
132,Cluster 132,5
133,Cluster 133,2
134,Cluster 134,2
135,Cluster 135,2
136,Cluster 136,3
137,Cluster 137,9
138,Cluster 138,1
139,Cluster 139,3
140,Cluster 140,1
141,Cluster 141,6
142,Cluster 142,24
143,Cluster 143,66
144,Cluster 144,4
145,Cluster 145,1
146,Cluster 146,11
147,Cluster 147,5
148,Cluster 148,10
149,Cluster 149,1
150,Cluster 150,55
151,Cluster 151,4
152,Cluster 152,103
153,Cluster 153,20
154,Cluster 154,1
155,Cluster 155,72
156,Cluster 156,1
157,Cluster 157,2
158,Cluster 158,1
159,Cluster 159,115
160,Cluster 160,120
161,Cluster 161,2
162,Cluster 162,100
163,Cluster 163,2
164,Cluster 164,1
165,Cluster 165,16
166,Cluster 166,1
167,Cluster 167,21
168,Cluster 168,12
169,Cluster 169,2
170,Cluster 170,1
171,Cluster 171,208
172,Cluster 172,33
173,Cluster 173,23
174,Cluster 174,2
175,Cluster 175,3
176,Cluster 176,1
177,Cluster 177,3
178,Cluster 178,2
179,Cluster 179,11
180,Cluster 180,59
181,Cluster 181,126
182,Cluster 182,39
183,Cluster 183,258
184,Cluster 184,11
185,Cluster 185,6
186,Cluster 186,1
187,Cluster 187,9
188,Cluster 188,65
189,Cluster 189,1
190,Cluster 190,18
191,Cluster 191,1
192,Cluster 192,2
193,Cluster 193,1
194,Cluster 194,1
195,Cluster 195,1
196,Cluster 196,4
197,Cluster 197,36
198,Cluster 198,2
199,Cluster 199,1
200,Cluster 200,66
201,Cluster 201,3
202,Cluster 202,2
203,Cluster 203,67
204,Cluster 204,1
205,Cluster 205,4
206,Cluster 206,1
207,Cluster 207,21
208,Cluster 208,2
209,Cluster 209,1
210,Cluster 210,3
211,Cluster 211,1
212,Cluster 212,2
213,Cluster 213,5
214,Cluster 214,14
215,Cluster 215,1
216,Cluster 216,2
217,Cluster 217,8
218,Cluster 218,139
219,Cluster 219,1
220,Cluster 220,1
221,Cluster 221,2
222,Cluster 222,2
223,Cluster 223,236
224,Cluster 224,3
225,Cluster 225,4
226,Cluster 226,4
227,Cluster 227,331
228,Cluster 228,1
229,Cluster 229,604
230,Cluster 230,16
231,Cluster 231,6
232,Cluster 232,4
233,Cluster 233,1
234,Cluster 234,2
235,Cluster 235,2
236,Cluster 236,1
237,Cluster 237,2
238,Cluster 238,4
239,Cluster 239,14
240,Cluster 240,1
241,Cluster 241,10
242,Cluster 242,675
243,Cluster 243,2
244,Cluster 244,148
245,Cluster 245,76
246,Cluster 246,2
247,Cluster 247,1
248,Cluster 248,40
249,Cluster 249,2
250,Cluster 250,1
251,Cluster 251,27
252,Cluster 252,2
253,Cluster 253,100
254,Cluster 254,1
255,Cluster 255,2
256,Cluster 256,44
257,Cluster 257,15
258,Cluster 258,1
259,Cluster 259,3
260,Cluster 260,3
261,Cluster 261,372
262,Cluster 262,5
263,Cluster 263,2
264,Cluster 264,1
265,Cluster 265,3
266,Cluster 266,1
267,Cluster 267,27
268,Cluster 268,1
269,Cluster 269,5
270,Cluster 270,6
271,Cluster 271,130
272,Cluster 272,2
273,Cluster 273,271
274,Cluster 274,1318
275,Cluster 275,1292
276,Cluster 276,8
277,Cluster 277,1
278,Cluster 278,4
279,Cluster 279,3
280,Cluster 280,1
281,Cluster 281,1
282,Cluster 282,44
283,Cluster 283,1325
284,Cluster 284,5
285,Cluster 285,1
286,Cluster 286,1
287,Cluster 287,2
288,Cluster 288,18
289,Cluster 289,4
290,Cluster 290,8
291,Cluster 291,2
292,Cluster 292,32
293,Cluster 293,3
294,Cluster 294,4
295,Cluster 295,42
296,Cluster 296,1
297,Cluster 297,27
298,Cluster 298,1
299,Cluster 299,1
300,Cluster 300,61
301,Cluster 301,1
302,Cluster 302,7
303,Cluster 303,56
304,Cluster 304,1
305,Cluster 305,1
306,Cluster 306,140
307,Cluster 307,1
308,Cluster 308,2
309,Cluster 309,2
310,Cluster 310,30
311,Cluster 311,196
312,Cluster 312,52
313,Cluster 313,4
314,Cluster 314,10
315,Cluster 315,2
316,Cluster 316,2
317,Cluster 317,10
318,Cluster 318,1
319,Cluster 319,17
320,Cluster 320,16
321,Cluster 321,2
322,Cluster 322,2
323,Cluster 323,1
324,Cluster 324,2
325,Cluster 325,1
326,Cluster 326,2
327,Cluster 327,7
328,Cluster 328,1
329,Cluster 329,1
330,Cluster 330,1326
331,Cluster 331,2
332,Cluster 332,3
333,Cluster 333,22
334,Cluster 334,2
335,Cluster 335,2
336,Cluster 336,1
337,Cluster 337,1
338,Cluster 338,1
339,Cluster 339,40
340,Cluster 340,1
341,Cluster 341,24
342,Cluster 342,2
343,Cluster 343,7
344,Cluster 344,6
345,Cluster 345,1326
346,Cluster 346,1
347,Cluster 347,26
348,Cluster 348,5
349,Cluster 349,43
350,Cluster 350,9
351,Cluster 351,3
352,Cluster 352,1298
353,Cluster 353,1
354,Cluster 354,11
355,Cluster 355,7
356,Cluster 356,5
357,Cluster 357,1
358,Cluster 358,4
359,Cluster 359,1
360,Cluster 360,5
361,Cluster 361,1
362,Cluster 362,1
363,Cluster 363,2
364,Cluster 364,23
365,Cluster 365,2
366,Cluster 366,267
367,Cluster 367,9
368,Cluster 368,2
369,Cluster 369,7
370,Cluster 370,4
371,Cluster 371,5
372,Cluster 372,841
373,Cluster 373,5
374,Cluster 374,3
375,Cluster 375,3
376,Cluster 376,13
377,Cluster 377,1
378,Cluster 378,2
379,Cluster 379,2
380,Cluster 380,5
381,Cluster 381,168
382,Cluster 382,8
383,Cluster 383,2
384,Cluster 384,1324
385,Cluster 385,3
386,Cluster 386,1256
387,Cluster 387,6
388,Cluster 388,3
389,Cluster 389,2
390,Cluster 390,1326
391,Cluster 391,5
392,Cluster 392,179
393,Cluster 393,1
394,Cluster 394,1
395,Cluster 395,1090
396,Cluster 396,1
397,Cluster 397,2
398,Cluster 398,2
399,Cluster 399,12
400,Cluster 400,3
401,Cluster 401,4
402,Cluster 402,1
403,Cluster 403,7
404,Cluster 404,10
405,Cluster 405,2
406,Cluster 406,3
407,Cluster 407,1
408,Cluster 408,1322
