, ,Number of genomes,gene_class
0,Cluster 0,2,unique
1,Cluster 1,1,unique
2,Cluster 2,1,unique
3,Cluster 3,5,unique
4,Cluster 4,1,unique
5,Cluster 5,2,unique
6,Cluster 6,2,unique
7,Cluster 7,3,unique
8,Cluster 8,1,unique
9,Cluster 9,1,unique
10,Cluster 10,1,unique
11,Cluster 11,1,unique
12,Cluster 12,17,unique
13,Cluster 13,3,unique
14,Cluster 14,59,unique
15,Cluster 15,1,unique
16,Cluster 16,1,unique
17,Cluster 17,4,unique
18,Cluster 18,18,unique
19,Cluster 19,2,unique
20,Cluster 20,1,unique
21,Cluster 21,11,unique
22,Cluster 22,2,unique
23,Cluster 23,38,unique
24,Cluster 24,10,unique
25,Cluster 25,2,unique
26,Cluster 26,1,unique
27,Cluster 27,1,unique
28,Cluster 28,45,unique
29,Cluster 29,14,unique
30,Cluster 30,2,unique
31,Cluster 31,100,unique
32,Cluster 32,2,unique
33,Cluster 33,1,unique
34,Cluster 34,10,unique
35,Cluster 35,12,unique
36,Cluster 36,4,unique
37,Cluster 37,659,accessory
38,Cluster 38,4,unique
39,Cluster 39,1,unique
40,Cluster 40,15,unique
41,Cluster 41,306,accessory
42,Cluster 42,1,unique
43,Cluster 43,1,unique
44,Cluster 44,44,unique
45,Cluster 45,156,accessory
46,Cluster 46,105,accessory
47,Cluster 47,8,unique
48,Cluster 48,20,unique
49,Cluster 49,13,unique
50,Cluster 50,8,unique
51,Cluster 51,2,unique
52,Cluster 52,14,unique
53,Cluster 53,28,unique
54,Cluster 54,1,unique
55,Cluster 55,1,unique
56,Cluster 56,22,unique
57,Cluster 57,1,unique
58,Cluster 58,2,unique
59,Cluster 59,5,unique
60,Cluster 60,2,unique
61,Cluster 61,1,unique
62,Cluster 62,1,unique
63,Cluster 63,215,accessory
64,Cluster 64,1,unique
65,Cluster 65,20,unique
66,Cluster 66,11,unique
67,Cluster 67,1,unique
68,Cluster 68,1,unique
69,Cluster 69,1,unique
70,Cluster 70,1,unique
71,Cluster 71,5,unique
72,Cluster 72,1,unique
73,Cluster 73,1,unique
74,Cluster 74,1,unique
75,Cluster 75,11,unique
76,Cluster 76,3,unique
77,Cluster 77,3,unique
78,Cluster 78,1,unique
79,Cluster 79,2,unique
80,Cluster 80,5,unique
81,Cluster 81,2,unique
82,Cluster 82,1,unique
83,Cluster 83,1,unique
84,Cluster 84,1,unique
85,Cluster 85,155,accessory
86,Cluster 86,1,unique
87,Cluster 87,3,unique
88,Cluster 88,512,accessory
89,Cluster 89,5,unique
90,Cluster 90,2,unique
91,Cluster 91,8,unique
92,Cluster 92,2,unique
93,Cluster 93,2,unique
94,Cluster 94,9,unique
95,Cluster 95,1,unique
96,Cluster 96,2,unique
97,Cluster 97,1,unique
98,Cluster 98,1,unique
99,Cluster 99,48,unique
100,Cluster 100,2,unique
101,Cluster 101,16,unique
102,Cluster 102,22,unique
103,Cluster 103,2,unique
104,Cluster 104,1,unique
105,Cluster 105,1,unique
106,Cluster 106,112,accessory
107,Cluster 107,378,accessory
108,Cluster 108,89,unique
109,Cluster 109,2,unique
110,Cluster 110,2,unique
111,Cluster 111,3,unique
112,Cluster 112,15,unique
113,Cluster 113,2,unique
114,Cluster 114,2,unique
115,Cluster 115,2,unique
116,Cluster 116,3,unique
117,Cluster 117,1,unique
118,Cluster 118,16,unique
119,Cluster 119,2,unique
120,Cluster 120,32,unique
121,Cluster 121,2,unique
122,Cluster 122,1,unique
123,Cluster 123,1,unique
124,Cluster 124,7,unique
125,Cluster 125,106,accessory
126,Cluster 126,402,accessory
127,Cluster 127,1,unique
128,Cluster 128,4,unique
129,Cluster 129,2,unique
130,Cluster 130,18,unique
131,Cluster 131,6,unique
132,Cluster 132,5,unique
133,Cluster 133,2,unique
134,Cluster 134,2,unique
135,Cluster 135,2,unique
136,Cluster 136,3,unique
137,Cluster 137,9,unique
138,Cluster 138,1,unique
139,Cluster 139,3,unique
140,Cluster 140,1,unique
141,Cluster 141,6,unique
142,Cluster 142,24,unique
143,Cluster 143,66,unique
144,Cluster 144,4,unique
145,Cluster 145,1,unique
146,Cluster 146,11,unique
147,Cluster 147,5,unique
148,Cluster 148,10,unique
149,Cluster 149,1,unique
150,Cluster 150,55,unique
151,Cluster 151,4,unique
152,Cluster 152,103,unique
153,Cluster 153,20,unique
154,Cluster 154,1,unique
155,Cluster 155,72,unique
156,Cluster 156,1,unique
157,Cluster 157,2,unique
158,Cluster 158,1,unique
159,Cluster 159,115,accessory
160,Cluster 160,120,accessory
161,Cluster 161,2,unique
162,Cluster 162,100,unique
163,Cluster 163,2,unique
164,Cluster 164,1,unique
165,Cluster 165,16,unique
166,Cluster 166,1,unique
167,Cluster 167,21,unique
168,Cluster 168,12,unique
169,Cluster 169,2,unique
170,Cluster 170,1,unique
171,Cluster 171,208,accessory
172,Cluster 172,33,unique
173,Cluster 173,23,unique
174,Cluster 174,2,unique
175,Cluster 175,3,unique
176,Cluster 176,1,unique
177,Cluster 177,3,unique
178,Cluster 178,2,unique
179,Cluster 179,11,unique
180,Cluster 180,59,unique
181,Cluster 181,126,accessory
182,Cluster 182,39,unique
183,Cluster 183,258,accessory
184,Cluster 184,11,unique
185,Cluster 185,6,unique
186,Cluster 186,1,unique
187,Cluster 187,9,unique
188,Cluster 188,65,unique
189,Cluster 189,1,unique
190,Cluster 190,18,unique
191,Cluster 191,1,unique
192,Cluster 192,2,unique
193,Cluster 193,1,unique
