, ,Number of genomes
0,Cluster 0,103
1,Cluster 1,239
2,Cluster 2,3
3,Cluster 3,1
4,Cluster 4,268
5,Cluster 5,268
6,Cluster 6,3
7,Cluster 7,266
8,Cluster 8,193
9,Cluster 9,2
10,Cluster 10,32
11,Cluster 11,2
12,Cluster 12,23
13,Cluster 13,7
14,Cluster 14,4
15,Cluster 15,3
16,Cluster 16,92
17,Cluster 17,94
18,Cluster 18,16
19,Cluster 19,2
20,Cluster 20,33
21,Cluster 21,2
22,Cluster 22,2
23,Cluster 23,36
24,Cluster 24,9
25,Cluster 25,14
26,Cluster 26,269
27,Cluster 27,269
28,Cluster 28,4
29,Cluster 29,267
30,Cluster 30,268
31,Cluster 31,1
32,Cluster 32,3
33,Cluster 33,2
34,Cluster 34,2
35,Cluster 35,1
36,Cluster 36,25
37,Cluster 37,1
38,Cluster 38,267
39,Cluster 39,14
40,Cluster 40,269
41,Cluster 41,1
42,Cluster 42,1
43,Cluster 43,1
44,Cluster 44,38
45,Cluster 45,3
46,Cluster 46,5
47,Cluster 47,238
48,Cluster 48,1
49,Cluster 49,263
50,Cluster 50,1
51,Cluster 51,1
52,Cluster 52,1
53,Cluster 53,17
54,Cluster 54,159
55,Cluster 55,1
56,Cluster 56,9
57,Cluster 57,264
58,Cluster 58,1
59,Cluster 59,269
60,Cluster 60,72
61,Cluster 61,51
62,Cluster 62,11
63,Cluster 63,268
64,Cluster 64,30
65,Cluster 65,10
66,Cluster 66,1
67,Cluster 67,1
68,Cluster 68,14
69,Cluster 69,6
70,Cluster 70,2
71,Cluster 71,263
72,Cluster 72,1
73,Cluster 73,267
74,Cluster 74,1
75,Cluster 75,250
76,Cluster 76,36
77,Cluster 77,13
78,Cluster 78,269
79,Cluster 79,5
80,Cluster 80,108
81,Cluster 81,2
82,Cluster 82,269
83,Cluster 83,269
84,Cluster 84,162
85,Cluster 85,1
86,Cluster 86,1
87,Cluster 87,269
88,Cluster 88,1
89,Cluster 89,35
90,Cluster 90,269
91,Cluster 91,3
92,Cluster 92,269
93,Cluster 93,269
94,Cluster 94,268
95,Cluster 95,2
96,Cluster 96,269
97,Cluster 97,268
98,Cluster 98,192
99,Cluster 99,33
100,Cluster 100,3
101,Cluster 101,3
102,Cluster 102,269
103,Cluster 103,34
104,Cluster 104,5
105,Cluster 105,269
106,Cluster 106,41
107,Cluster 107,269
108,Cluster 108,10
109,Cluster 109,1
110,Cluster 110,9
111,Cluster 111,156
112,Cluster 112,12
113,Cluster 113,1
114,Cluster 114,2
115,Cluster 115,2
116,Cluster 116,8
117,Cluster 117,22
118,Cluster 118,266
119,Cluster 119,269
120,Cluster 120,269
121,Cluster 121,1
122,Cluster 122,2
123,Cluster 123,93
124,Cluster 124,26
125,Cluster 125,15
126,Cluster 126,3
127,Cluster 127,269
128,Cluster 128,2
129,Cluster 129,3
130,Cluster 130,2
131,Cluster 131,29
132,Cluster 132,37
133,Cluster 133,10
134,Cluster 134,2
135,Cluster 135,267
136,Cluster 136,1
137,Cluster 137,3
138,Cluster 138,11
139,Cluster 139,269
140,Cluster 140,269
141,Cluster 141,1
142,Cluster 142,269
143,Cluster 143,269
144,Cluster 144,269
145,Cluster 145,2
146,Cluster 146,1
147,Cluster 147,3
148,Cluster 148,211
149,Cluster 149,7
150,Cluster 150,223
151,Cluster 151,269
152,Cluster 152,6
153,Cluster 153,267
154,Cluster 154,9
155,Cluster 155,269
156,Cluster 156,1
157,Cluster 157,266
158,Cluster 158,12
159,Cluster 159,2
160,Cluster 160,205
161,Cluster 161,267
162,Cluster 162,1
163,Cluster 163,269
164,Cluster 164,29
165,Cluster 165,268
166,Cluster 166,216
167,Cluster 167,3
168,Cluster 168,8
169,Cluster 169,1
170,Cluster 170,3
171,Cluster 171,200
172,Cluster 172,248
173,Cluster 173,1
174,Cluster 174,269
175,Cluster 175,269
176,Cluster 176,22
177,Cluster 177,269
178,Cluster 178,4
179,Cluster 179,269
180,Cluster 180,11
181,Cluster 181,1
182,Cluster 182,1
183,Cluster 183,4
184,Cluster 184,2
185,Cluster 185,269
186,Cluster 186,5
187,Cluster 187,110
188,Cluster 188,1
189,Cluster 189,266
190,Cluster 190,267
191,Cluster 191,268
192,Cluster 192,21
193,Cluster 193,266
194,Cluster 194,1
195,Cluster 195,13
196,Cluster 196,3
197,Cluster 197,20
198,Cluster 198,12
199,Cluster 199,1
200,Cluster 200,2
201,Cluster 201,1
202,Cluster 202,177
203,Cluster 203,22
204,Cluster 204,1
205,Cluster 205,9
206,Cluster 206,269
207,Cluster 207,2
208,Cluster 208,6
209,Cluster 209,12
210,Cluster 210,3
211,Cluster 211,1
212,Cluster 212,1
213,Cluster 213,6
214,Cluster 214,2
215,Cluster 215,1
216,Cluster 216,268
217,Cluster 217,8
218,Cluster 218,1
219,Cluster 219,269
220,Cluster 220,29
221,Cluster 221,266
222,Cluster 222,43
223,Cluster 223,2
224,Cluster 224,268
225,Cluster 225,13
226,Cluster 226,1
227,Cluster 227,2
228,Cluster 228,2
229,Cluster 229,269
230,Cluster 230,1
231,Cluster 231,269
232,Cluster 232,12
233,Cluster 233,3
234,Cluster 234,158
235,Cluster 235,10
236,Cluster 236,269
237,Cluster 237,269
238,Cluster 238,269
239,Cluster 239,102
