, ,Number of genomes,gene_class
0,Cluster 0,103,accessory
1,Cluster 1,239,accessory
2,Cluster 2,3,unique
3,Cluster 3,1,unique
4,Cluster 4,268,core
5,Cluster 5,268,core
6,Cluster 6,3,unique
7,Cluster 7,266,core
8,Cluster 8,193,accessory
9,Cluster 9,2,unique
10,Cluster 10,32,accessory
11,Cluster 11,2,unique
12,Cluster 12,23,accessory
13,Cluster 13,7,unique
14,Cluster 14,4,unique
15,Cluster 15,3,unique
16,Cluster 16,92,accessory
17,Cluster 17,94,accessory
18,Cluster 18,16,unique
19,Cluster 19,2,unique
20,Cluster 20,33,accessory
21,Cluster 21,2,unique
22,Cluster 22,2,unique
23,Cluster 23,36,accessory
24,Cluster 24,9,unique
25,Cluster 25,14,unique
26,Cluster 26,269,core
27,Cluster 27,269,core
28,Cluster 28,4,unique
29,Cluster 29,267,core
30,Cluster 30,268,core
31,Cluster 31,1,unique
32,Cluster 32,3,unique
33,Cluster 33,2,unique
34,Cluster 34,2,unique
35,Cluster 35,1,unique
36,Cluster 36,25,accessory
37,Cluster 37,1,unique
38,Cluster 38,267,core
39,Cluster 39,14,unique
40,Cluster 40,269,core
41,Cluster 41,1,unique
42,Cluster 42,1,unique
43,Cluster 43,1,unique
44,Cluster 44,38,accessory
45,Cluster 45,3,unique
46,Cluster 46,5,unique
47,Cluster 47,238,accessory
48,Cluster 48,1,unique
49,Cluster 49,263,accessory
50,Cluster 50,1,unique
51,Cluster 51,1,unique
52,Cluster 52,1,unique
53,Cluster 53,17,unique
54,Cluster 54,159,accessory
55,Cluster 55,1,unique
56,Cluster 56,9,unique
57,Cluster 57,264,accessory
58,Cluster 58,1,unique
59,Cluster 59,269,core
60,Cluster 60,72,accessory
61,Cluster 61,51,accessory
62,Cluster 62,11,unique
63,Cluster 63,268,core
64,Cluster 64,30,accessory
65,Cluster 65,10,unique
66,Cluster 66,1,unique
67,Cluster 67,1,unique
68,Cluster 68,14,unique
69,Cluster 69,6,unique
70,Cluster 70,2,unique
71,Cluster 71,263,accessory
72,Cluster 72,1,unique
73,Cluster 73,267,core
74,Cluster 74,1,unique
75,Cluster 75,250,accessory
76,Cluster 76,36,accessory
77,Cluster 77,13,unique
78,Cluster 78,269,core
79,Cluster 79,5,unique
80,Cluster 80,108,accessory
81,Cluster 81,2,unique
82,Cluster 82,269,core
83,Cluster 83,269,core
84,Cluster 84,162,accessory
85,Cluster 85,1,unique
86,Cluster 86,1,unique
87,Cluster 87,269,core
88,Cluster 88,1,unique
89,Cluster 89,35,accessory
90,Cluster 90,269,core
91,Cluster 91,3,unique
92,Cluster 92,269,core
93,Cluster 93,269,core
94,Cluster 94,268,core
95,Cluster 95,2,unique
96,Cluster 96,269,core
97,Cluster 97,268,core
98,Cluster 98,192,accessory
99,Cluster 99,33,accessory
100,Cluster 100,3,unique
101,Cluster 101,3,unique
102,Cluster 102,269,core
103,Cluster 103,34,accessory
104,Cluster 104,5,unique
105,Cluster 105,269,core
106,Cluster 106,41,accessory
107,Cluster 107,269,core
108,Cluster 108,10,unique
109,Cluster 109,1,unique
110,Cluster 110,9,unique
111,Cluster 111,156,accessory
112,Cluster 112,12,unique
113,Cluster 113,1,unique
114,Cluster 114,2,unique
115,Cluster 115,2,unique
116,Cluster 116,8,unique
117,Cluster 117,22,accessory
118,Cluster 118,266,core
119,Cluster 119,269,core
120,Cluster 120,269,core
121,Cluster 121,1,unique
122,Cluster 122,2,unique
123,Cluster 123,93,accessory
124,Cluster 124,26,accessory
125,Cluster 125,15,unique
126,Cluster 126,3,unique
127,Cluster 127,269,core
128,Cluster 128,2,unique
129,Cluster 129,3,unique
130,Cluster 130,2,unique
131,Cluster 131,29,accessory
132,Cluster 132,37,accessory
133,Cluster 133,10,unique
134,Cluster 134,2,unique
135,Cluster 135,267,core
136,Cluster 136,1,unique
137,Cluster 137,3,unique
138,Cluster 138,11,unique
139,Cluster 139,269,core
140,Cluster 140,269,core
141,Cluster 141,1,unique
142,Cluster 142,269,core
143,Cluster 143,269,core
144,Cluster 144,269,core
145,Cluster 145,2,unique
146,Cluster 146,1,unique
147,Cluster 147,3,unique
148,Cluster 148,211,accessory
149,Cluster 149,7,unique
150,Cluster 150,223,accessory
151,Cluster 151,269,core
