, ,Number of genomes
0,Cluster 0,229
1,Cluster 1,1
2,Cluster 2,20
3,Cluster 3,4
4,Cluster 4,10
5,Cluster 5,1
6,Cluster 6,20
7,Cluster 7,3
8,Cluster 8,1
9,Cluster 9,6
10,Cluster 10,5
11,Cluster 11,1
12,Cluster 12,3
13,Cluster 13,1
14,Cluster 14,2
15,Cluster 15,14
16,Cluster 16,1
17,Cluster 17,13
18,Cluster 18,5
19,Cluster 19,1557
20,Cluster 20,27
21,Cluster 21,17
22,Cluster 22,2
23,Cluster 23,89
24,Cluster 24,112
25,Cluster 25,3
26,Cluster 26,11
27,Cluster 27,15
28,Cluster 28,13
29,Cluster 29,10
30,Cluster 30,4
31,Cluster 31,31
32,Cluster 32,572
33,Cluster 33,25
34,Cluster 34,1
35,Cluster 35,1
36,Cluster 36,15
37,Cluster 37,17
38,Cluster 38,16
39,Cluster 39,1
40,Cluster 40,3
41,Cluster 41,1
42,Cluster 42,7
43,Cluster 43,6
44,Cluster 44,2
45,Cluster 45,2
46,Cluster 46,39
47,Cluster 47,4
48,Cluster 48,93
49,Cluster 49,38
50,Cluster 50,1
51,Cluster 51,2
52,Cluster 52,17
53,Cluster 53,14
54,Cluster 54,43
55,Cluster 55,1
56,Cluster 56,468
57,Cluster 57,848
58,Cluster 58,51
59,Cluster 59,1
60,Cluster 60,356
61,Cluster 61,1
62,Cluster 62,4
63,Cluster 63,2
64,Cluster 64,13
65,Cluster 65,126
66,Cluster 66,1
67,Cluster 67,8
68,Cluster 68,17
69,Cluster 69,6
70,Cluster 70,115
71,Cluster 71,86
72,Cluster 72,25
73,Cluster 73,1
74,Cluster 74,3
75,Cluster 75,118
76,Cluster 76,46
77,Cluster 77,19
78,Cluster 78,1
79,Cluster 79,30
80,Cluster 80,111
81,Cluster 81,179
82,Cluster 82,18
83,Cluster 83,3
84,Cluster 84,13
85,Cluster 85,6
86,Cluster 86,148
87,Cluster 87,2
88,Cluster 88,14
89,Cluster 89,447
90,Cluster 90,1
91,Cluster 91,5
92,Cluster 92,16
93,Cluster 93,1
94,Cluster 94,137
95,Cluster 95,59
96,Cluster 96,1
97,Cluster 97,58
98,Cluster 98,2
99,Cluster 99,1
100,Cluster 100,2
101,Cluster 101,13
102,Cluster 102,1
103,Cluster 103,1
104,Cluster 104,1566
105,Cluster 105,7
106,Cluster 106,2
107,Cluster 107,15
108,Cluster 108,37
109,Cluster 109,7
110,Cluster 110,1
111,Cluster 111,4
112,Cluster 112,263
113,Cluster 113,1171
114,Cluster 114,1
115,Cluster 115,2
116,Cluster 116,119
117,Cluster 117,8
118,Cluster 118,1
119,Cluster 119,2
120,Cluster 120,1
121,Cluster 121,1
122,Cluster 122,4
123,Cluster 123,18
124,Cluster 124,21
125,Cluster 125,1
126,Cluster 126,9
127,Cluster 127,3
128,Cluster 128,1
129,Cluster 129,1
130,Cluster 130,12
131,Cluster 131,1
132,Cluster 132,120
133,Cluster 133,19
134,Cluster 134,103
135,Cluster 135,1
136,Cluster 136,1
137,Cluster 137,457
138,Cluster 138,77
139,Cluster 139,37
140,Cluster 140,12
141,Cluster 141,3
