, ,Number of genomes,gene_class
0,Cluster 0,229,accessory
1,Cluster 1,1,unique
2,Cluster 2,20,unique
3,Cluster 3,4,unique
4,Cluster 4,10,unique
5,Cluster 5,1,unique
6,Cluster 6,20,unique
7,Cluster 7,3,unique
8,Cluster 8,1,unique
9,Cluster 9,6,unique
10,Cluster 10,5,unique
11,Cluster 11,1,unique
12,Cluster 12,3,unique
13,Cluster 13,1,unique
14,Cluster 14,2,unique
15,Cluster 15,14,unique
16,Cluster 16,1,unique
17,Cluster 17,13,unique
18,Cluster 18,5,unique
19,Cluster 19,1557,accessory
20,Cluster 20,27,unique
21,Cluster 21,17,unique
22,Cluster 22,2,unique
23,Cluster 23,89,unique
24,Cluster 24,112,unique
25,Cluster 25,3,unique
26,Cluster 26,11,unique
27,Cluster 27,15,unique
28,Cluster 28,13,unique
29,Cluster 29,10,unique
30,Cluster 30,4,unique
31,Cluster 31,31,unique
32,Cluster 32,572,accessory
33,Cluster 33,25,unique
34,Cluster 34,1,unique
35,Cluster 35,1,unique
36,Cluster 36,15,unique
37,Cluster 37,17,unique
38,Cluster 38,16,unique
39,Cluster 39,1,unique
40,Cluster 40,3,unique
41,Cluster 41,1,unique
42,Cluster 42,7,unique
43,Cluster 43,6,unique
44,Cluster 44,2,unique
45,Cluster 45,2,unique
46,Cluster 46,39,unique
47,Cluster 47,4,unique
48,Cluster 48,93,unique
49,Cluster 49,38,unique
50,Cluster 50,1,unique
51,Cluster 51,2,unique
52,Cluster 52,17,unique
53,Cluster 53,14,unique
54,Cluster 54,43,unique
55,Cluster 55,1,unique
56,Cluster 56,468,accessory
57,Cluster 57,848,accessory
58,Cluster 58,51,unique
59,Cluster 59,1,unique
60,Cluster 60,356,accessory
61,Cluster 61,1,unique
62,Cluster 62,4,unique
63,Cluster 63,2,unique
64,Cluster 64,13,unique
65,Cluster 65,126,unique
66,Cluster 66,1,unique
67,Cluster 67,8,unique
68,Cluster 68,17,unique
69,Cluster 69,6,unique
70,Cluster 70,115,unique
71,Cluster 71,86,unique
72,Cluster 72,25,unique
73,Cluster 73,1,unique
74,Cluster 74,3,unique
75,Cluster 75,118,unique
76,Cluster 76,46,unique
77,Cluster 77,19,unique
78,Cluster 78,1,unique
79,Cluster 79,30,unique
80,Cluster 80,111,unique
81,Cluster 81,179,accessory
82,Cluster 82,18,unique
83,Cluster 83,3,unique
84,Cluster 84,13,unique
85,Cluster 85,6,unique
86,Cluster 86,148,unique
87,Cluster 87,2,unique
88,Cluster 88,14,unique
89,Cluster 89,447,accessory
90,Cluster 90,1,unique
91,Cluster 91,5,unique
92,Cluster 92,16,unique
93,Cluster 93,1,unique
94,Cluster 94,137,unique
95,Cluster 95,59,unique
96,Cluster 96,1,unique
97,Cluster 97,58,unique
98,Cluster 98,2,unique
99,Cluster 99,1,unique
100,Cluster 100,2,unique
101,Cluster 101,13,unique
102,Cluster 102,1,unique
103,Cluster 103,1,unique
104,Cluster 104,1566,accessory
105,Cluster 105,7,unique
106,Cluster 106,2,unique
107,Cluster 107,15,unique
108,Cluster 108,37,unique
109,Cluster 109,7,unique
110,Cluster 110,1,unique
111,Cluster 111,4,unique
112,Cluster 112,263,accessory
113,Cluster 113,1171,accessory
114,Cluster 114,1,unique
115,Cluster 115,2,unique
116,Cluster 116,119,unique
117,Cluster 117,8,unique
118,Cluster 118,1,unique
119,Cluster 119,2,unique
120,Cluster 120,1,unique
121,Cluster 121,1,unique
122,Cluster 122,4,unique
123,Cluster 123,18,unique
124,Cluster 124,21,unique
125,Cluster 125,1,unique
126,Cluster 126,9,unique
127,Cluster 127,3,unique
128,Cluster 128,1,unique
129,Cluster 129,1,unique
130,Cluster 130,12,unique
131,Cluster 131,1,unique
132,Cluster 132,120,unique
133,Cluster 133,19,unique
134,Cluster 134,103,unique
135,Cluster 135,1,unique
136,Cluster 136,1,unique
137,Cluster 137,457,accessory
138,Cluster 138,77,unique
139,Cluster 139,37,unique
140,Cluster 140,12,unique
141,Cluster 141,3,unique
142,Cluster 142,2,unique
143,Cluster 143,15,unique
144,Cluster 144,9,unique
145,Cluster 145,22,unique
146,Cluster 146,7,unique
147,Cluster 147,2,unique
148,Cluster 148,20,unique
149,Cluster 149,462,accessory
150,Cluster 150,3,unique
151,Cluster 151,88,unique
152,Cluster 152,4,unique
153,Cluster 153,23,unique
154,Cluster 154,22,unique
155,Cluster 155,95,unique
156,Cluster 156,1,unique
157,Cluster 157,2,unique
158,Cluster 158,1,unique
159,Cluster 159,4,unique
160,Cluster 160,39,unique
161,Cluster 161,80,unique
162,Cluster 162,80,unique
163,Cluster 163,3,unique
164,Cluster 164,4,unique
165,Cluster 165,47,unique
166,Cluster 166,19,unique
167,Cluster 167,24,unique
168,Cluster 168,4,unique
169,Cluster 169,2,unique
170,Cluster 170,98,unique
171,Cluster 171,1,unique
172,Cluster 172,1,unique
173,Cluster 173,52,unique
