, ,Number of genomes
0,Cluster 0,3
1,Cluster 1,1
2,Cluster 2,1
3,Cluster 3,4
4,Cluster 4,1
5,Cluster 5,1
6,Cluster 6,646
7,Cluster 7,1
8,Cluster 8,2
9,Cluster 9,826
10,Cluster 10,2
11,Cluster 11,639
12,Cluster 12,1260
13,Cluster 13,26
14,Cluster 14,4
15,Cluster 15,47
16,Cluster 16,31
17,Cluster 17,644
18,Cluster 18,2
19,Cluster 19,1
20,Cluster 20,1
21,Cluster 21,4
22,Cluster 22,1
23,Cluster 23,1
24,Cluster 24,8
25,Cluster 25,43
26,Cluster 26,2
27,Cluster 27,1
28,Cluster 28,3
29,Cluster 29,1
30,Cluster 30,1
31,Cluster 31,1462
32,Cluster 32,34
33,Cluster 33,2
34,Cluster 34,4
35,Cluster 35,25
36,Cluster 36,1
37,Cluster 37,438
38,Cluster 38,15
39,Cluster 39,1
40,Cluster 40,1574
41,Cluster 41,9
42,Cluster 42,1
43,Cluster 43,3
44,Cluster 44,170
45,Cluster 45,17
46,Cluster 46,6
47,Cluster 47,16
48,Cluster 48,7
49,Cluster 49,1
50,Cluster 50,1
51,Cluster 51,1
52,Cluster 52,5
53,Cluster 53,4
54,Cluster 54,25
55,Cluster 55,1
56,Cluster 56,1
57,Cluster 57,1
58,Cluster 58,2
59,Cluster 59,1
60,Cluster 60,1
61,Cluster 61,21
62,Cluster 62,3
63,Cluster 63,6
64,Cluster 64,522
65,Cluster 65,2
66,Cluster 66,2
67,Cluster 67,1584
68,Cluster 68,2
69,Cluster 69,1
70,Cluster 70,4
71,Cluster 71,9
72,Cluster 72,1
73,Cluster 73,4
74,Cluster 74,6
75,Cluster 75,4
76,Cluster 76,4
77,Cluster 77,58
78,Cluster 78,6
79,Cluster 79,81
80,Cluster 80,17
81,Cluster 81,1
82,Cluster 82,181
83,Cluster 83,54
84,Cluster 84,10
85,Cluster 85,1
86,Cluster 86,2
87,Cluster 87,3
88,Cluster 88,1509
89,Cluster 89,2
90,Cluster 90,3
91,Cluster 91,26
92,Cluster 92,37
93,Cluster 93,3
94,Cluster 94,1
95,Cluster 95,1
96,Cluster 96,5
97,Cluster 97,1
98,Cluster 98,1
99,Cluster 99,1490
100,Cluster 100,1524
101,Cluster 101,2
102,Cluster 102,763
103,Cluster 103,1583
104,Cluster 104,16
105,Cluster 105,414
106,Cluster 106,1562
107,Cluster 107,1577
108,Cluster 108,5
109,Cluster 109,1
110,Cluster 110,6
111,Cluster 111,1
112,Cluster 112,61
113,Cluster 113,54
114,Cluster 114,3
115,Cluster 115,1
116,Cluster 116,19
117,Cluster 117,7
118,Cluster 118,4
119,Cluster 119,2
120,Cluster 120,68
121,Cluster 121,30
122,Cluster 122,107
123,Cluster 123,2
124,Cluster 124,1
125,Cluster 125,15
126,Cluster 126,5
127,Cluster 127,4
128,Cluster 128,17
129,Cluster 129,6
130,Cluster 130,14
131,Cluster 131,1094
132,Cluster 132,2
133,Cluster 133,3
134,Cluster 134,12
135,Cluster 135,103
136,Cluster 136,15
137,Cluster 137,1
138,Cluster 138,2
139,Cluster 139,107
140,Cluster 140,3
141,Cluster 141,1496
142,Cluster 142,13
143,Cluster 143,19
144,Cluster 144,167
145,Cluster 145,28
146,Cluster 146,1
147,Cluster 147,1
148,Cluster 148,1
149,Cluster 149,2
150,Cluster 150,1
151,Cluster 151,111
152,Cluster 152,2
153,Cluster 153,34
154,Cluster 154,6
155,Cluster 155,15
156,Cluster 156,1573
157,Cluster 157,9
158,Cluster 158,21
159,Cluster 159,2
160,Cluster 160,1
161,Cluster 161,3
162,Cluster 162,1
163,Cluster 163,6
164,Cluster 164,4
165,Cluster 165,2
166,Cluster 166,17
167,Cluster 167,2
168,Cluster 168,1
169,Cluster 169,1575
170,Cluster 170,1580
171,Cluster 171,1
172,Cluster 172,2
173,Cluster 173,1
174,Cluster 174,5
175,Cluster 175,1
176,Cluster 176,1
177,Cluster 177,4
178,Cluster 178,5
179,Cluster 179,1
180,Cluster 180,4
181,Cluster 181,736
182,Cluster 182,8
183,Cluster 183,604
184,Cluster 184,6
185,Cluster 185,8
186,Cluster 186,1576
187,Cluster 187,9
188,Cluster 188,86
189,Cluster 189,224
190,Cluster 190,62
191,Cluster 191,21
192,Cluster 192,7
193,Cluster 193,1445
194,Cluster 194,2
195,Cluster 195,2
196,Cluster 196,2
197,Cluster 197,31
198,Cluster 198,1
199,Cluster 199,3
200,Cluster 200,3
201,Cluster 201,11
202,Cluster 202,51
203,Cluster 203,1
204,Cluster 204,7
205,Cluster 205,5
206,Cluster 206,1579
207,Cluster 207,1
208,Cluster 208,1391
209,Cluster 209,8
210,Cluster 210,2
211,Cluster 211,1569
212,Cluster 212,24
213,Cluster 213,1475
214,Cluster 214,27
215,Cluster 215,12
216,Cluster 216,1
217,Cluster 217,2
218,Cluster 218,3
219,Cluster 219,4
220,Cluster 220,69
221,Cluster 221,1
222,Cluster 222,5
223,Cluster 223,1
224,Cluster 224,318
225,Cluster 225,1346
226,Cluster 226,2
227,Cluster 227,1
228,Cluster 228,1
229,Cluster 229,1563
230,Cluster 230,1
231,Cluster 231,1
232,Cluster 232,1
233,Cluster 233,35
234,Cluster 234,22
235,Cluster 235,7
236,Cluster 236,1
237,Cluster 237,5
238,Cluster 238,1583
239,Cluster 239,2
240,Cluster 240,1
241,Cluster 241,4
242,Cluster 242,1
243,Cluster 243,4
244,Cluster 244,1
245,Cluster 245,1575
246,Cluster 246,2
247,Cluster 247,234
248,Cluster 248,12
249,Cluster 249,591
250,Cluster 250,13
251,Cluster 251,13
252,Cluster 252,1
253,Cluster 253,4
254,Cluster 254,503
255,Cluster 255,2
256,Cluster 256,1
257,Cluster 257,13
258,Cluster 258,21
259,Cluster 259,3
260,Cluster 260,1
261,Cluster 261,1584
262,Cluster 262,40
263,Cluster 263,2
264,Cluster 264,1
265,Cluster 265,163
266,Cluster 266,41
267,Cluster 267,3
268,Cluster 268,18
269,Cluster 269,494
270,Cluster 270,8
271,Cluster 271,3
272,Cluster 272,1
273,Cluster 273,5
274,Cluster 274,10
275,Cluster 275,1
276,Cluster 276,1587
277,Cluster 277,58
278,Cluster 278,2
279,Cluster 279,1
280,Cluster 280,2
281,Cluster 281,7
282,Cluster 282,16
283,Cluster 283,2
284,Cluster 284,24
285,Cluster 285,4
286,Cluster 286,10
287,Cluster 287,17
288,Cluster 288,1
289,Cluster 289,3
290,Cluster 290,1
291,Cluster 291,8
292,Cluster 292,3
293,Cluster 293,19
294,Cluster 294,4
295,Cluster 295,33
296,Cluster 296,1
297,Cluster 297,2
298,Cluster 298,52
299,Cluster 299,1
300,Cluster 300,1581
301,Cluster 301,4
302,Cluster 302,1
303,Cluster 303,1570
304,Cluster 304,76
305,Cluster 305,2
306,Cluster 306,54
307,Cluster 307,2
308,Cluster 308,1009
309,Cluster 309,8
310,Cluster 310,1580
311,Cluster 311,1
312,Cluster 312,1
313,Cluster 313,1
314,Cluster 314,4
315,Cluster 315,5
316,Cluster 316,3
317,Cluster 317,11
318,Cluster 318,1
319,Cluster 319,1584
320,Cluster 320,2
321,Cluster 321,1
322,Cluster 322,2
323,Cluster 323,2
324,Cluster 324,1
325,Cluster 325,51
326,Cluster 326,1
327,Cluster 327,20
328,Cluster 328,1
329,Cluster 329,6
330,Cluster 330,480
331,Cluster 331,1
332,Cluster 332,1
333,Cluster 333,2
334,Cluster 334,1
335,Cluster 335,5
336,Cluster 336,2
337,Cluster 337,1585
338,Cluster 338,16
339,Cluster 339,11
340,Cluster 340,1
341,Cluster 341,22
342,Cluster 342,13
343,Cluster 343,2
344,Cluster 344,2
345,Cluster 345,1585
346,Cluster 346,2
347,Cluster 347,5
348,Cluster 348,1
349,Cluster 349,4
350,Cluster 350,1
351,Cluster 351,2
352,Cluster 352,176
353,Cluster 353,5
354,Cluster 354,1
355,Cluster 355,2
356,Cluster 356,1
357,Cluster 357,1
358,Cluster 358,2
359,Cluster 359,2
360,Cluster 360,1
361,Cluster 361,1
362,Cluster 362,1
363,Cluster 363,2
364,Cluster 364,8
365,Cluster 365,4
366,Cluster 366,1
367,Cluster 367,4
368,Cluster 368,39
369,Cluster 369,3
370,Cluster 370,21
371,Cluster 371,3
372,Cluster 372,11
373,Cluster 373,1
374,Cluster 374,8
375,Cluster 375,1
376,Cluster 376,11
377,Cluster 377,118
378,Cluster 378,3
379,Cluster 379,4
380,Cluster 380,1
381,Cluster 381,30
382,Cluster 382,1
383,Cluster 383,3
384,Cluster 384,6
385,Cluster 385,5
386,Cluster 386,1565
387,Cluster 387,5
388,Cluster 388,1586
389,Cluster 389,1
390,Cluster 390,9
391,Cluster 391,1504
392,Cluster 392,8
393,Cluster 393,1
394,Cluster 394,1579
395,Cluster 395,1582
396,Cluster 396,2
397,Cluster 397,2
398,Cluster 398,34
399,Cluster 399,1542
400,Cluster 400,1
401,Cluster 401,48
402,Cluster 402,1581
403,Cluster 403,4
404,Cluster 404,17
405,Cluster 405,1586
406,Cluster 406,3
407,Cluster 407,1556
408,Cluster 408,1575
409,Cluster 409,1
410,Cluster 410,2
411,Cluster 411,12
412,Cluster 412,1578
413,Cluster 413,5
414,Cluster 414,1456
415,Cluster 415,9
416,Cluster 416,1
417,Cluster 417,3
418,Cluster 418,15
419,Cluster 419,5
420,Cluster 420,1586
421,Cluster 421,4
422,Cluster 422,1
423,Cluster 423,1588
424,Cluster 424,1510
425,Cluster 425,1577
426,Cluster 426,10
427,Cluster 427,100
428,Cluster 428,42
429,Cluster 429,3
430,Cluster 430,2
431,Cluster 431,1
432,Cluster 432,3
433,Cluster 433,4
434,Cluster 434,1583
435,Cluster 435,2
436,Cluster 436,7
437,Cluster 437,2
438,Cluster 438,3
439,Cluster 439,1
440,Cluster 440,1
441,Cluster 441,2
442,Cluster 442,5
443,Cluster 443,4
444,Cluster 444,1581
445,Cluster 445,18
446,Cluster 446,20
447,Cluster 447,13
448,Cluster 448,1
449,Cluster 449,1569
450,Cluster 450,3
451,Cluster 451,103
452,Cluster 452,1
453,Cluster 453,1
454,Cluster 454,1
455,Cluster 455,15
456,Cluster 456,2
457,Cluster 457,13
458,Cluster 458,3
459,Cluster 459,10
460,Cluster 460,1
461,Cluster 461,1489
462,Cluster 462,1292
463,Cluster 463,13
464,Cluster 464,37
465,Cluster 465,54
466,Cluster 466,14
467,Cluster 467,7
468,Cluster 468,5
469,Cluster 469,1
470,Cluster 470,1
471,Cluster 471,1580
472,Cluster 472,4
473,Cluster 473,1
474,Cluster 474,4
475,Cluster 475,4
476,Cluster 476,1584
477,Cluster 477,2
478,Cluster 478,1586
479,Cluster 479,1
480,Cluster 480,1390
481,Cluster 481,4
482,Cluster 482,1587
483,Cluster 483,3
484,Cluster 484,4
485,Cluster 485,6
486,Cluster 486,1
487,Cluster 487,1508
488,Cluster 488,2
489,Cluster 489,1572
490,Cluster 490,153
491,Cluster 491,4
492,Cluster 492,13
493,Cluster 493,2
494,Cluster 494,52
495,Cluster 495,2
496,Cluster 496,1579
497,Cluster 497,1565
498,Cluster 498,1581
499,Cluster 499,2
500,Cluster 500,1
501,Cluster 501,1585
502,Cluster 502,3
503,Cluster 503,2
504,Cluster 504,2
505,Cluster 505,2
506,Cluster 506,2
507,Cluster 507,11
508,Cluster 508,5
509,Cluster 509,22
510,Cluster 510,2
511,Cluster 511,95
512,Cluster 512,1577
513,Cluster 513,6
514,Cluster 514,4
515,Cluster 515,103
516,Cluster 516,8
517,Cluster 517,50
518,Cluster 518,2
519,Cluster 519,1
520,Cluster 520,1
521,Cluster 521,1
522,Cluster 522,49
523,Cluster 523,1
524,Cluster 524,6
525,Cluster 525,1
526,Cluster 526,1
527,Cluster 527,1585
528,Cluster 528,1
529,Cluster 529,1578
530,Cluster 530,8
531,Cluster 531,1
532,Cluster 532,3
533,Cluster 533,1585
534,Cluster 534,1
535,Cluster 535,9
536,Cluster 536,1
537,Cluster 537,6
538,Cluster 538,1
539,Cluster 539,145
540,Cluster 540,2
541,Cluster 541,1580
542,Cluster 542,1
543,Cluster 543,2
544,Cluster 544,1
545,Cluster 545,1
546,Cluster 546,313
547,Cluster 547,1
548,Cluster 548,1
549,Cluster 549,2
550,Cluster 550,2
551,Cluster 551,3
552,Cluster 552,20
553,Cluster 553,79
554,Cluster 554,1
555,Cluster 555,5
556,Cluster 556,1
557,Cluster 557,1584
558,Cluster 558,52
559,Cluster 559,1484
560,Cluster 560,7
561,Cluster 561,1584
562,Cluster 562,5
563,Cluster 563,1
564,Cluster 564,2
565,Cluster 565,1338
566,Cluster 566,2
567,Cluster 567,1
568,Cluster 568,1
569,Cluster 569,1
570,Cluster 570,982
571,Cluster 571,3
572,Cluster 572,1
573,Cluster 573,15
574,Cluster 574,1
575,Cluster 575,1408
576,Cluster 576,16
577,Cluster 577,1
578,Cluster 578,1
579,Cluster 579,1
580,Cluster 580,1
581,Cluster 581,1
582,Cluster 582,1536
583,Cluster 583,2
584,Cluster 584,1
585,Cluster 585,2
586,Cluster 586,11
587,Cluster 587,21
588,Cluster 588,1
589,Cluster 589,2
590,Cluster 590,1278
591,Cluster 591,3
592,Cluster 592,1389
593,Cluster 593,32
594,Cluster 594,93
595,Cluster 595,761
596,Cluster 596,39
597,Cluster 597,1586
598,Cluster 598,3
599,Cluster 599,1
600,Cluster 600,2
601,Cluster 601,1
602,Cluster 602,1
603,Cluster 603,1586
604,Cluster 604,6
605,Cluster 605,1
606,Cluster 606,5
607,Cluster 607,6
608,Cluster 608,1
609,Cluster 609,1
610,Cluster 610,171
611,Cluster 611,24
612,Cluster 612,14
613,Cluster 613,1
614,Cluster 614,33
615,Cluster 615,1
616,Cluster 616,50
617,Cluster 617,1584
618,Cluster 618,4
619,Cluster 619,1
620,Cluster 620,178
621,Cluster 621,1579
622,Cluster 622,1565
623,Cluster 623,8
624,Cluster 624,2
625,Cluster 625,1
626,Cluster 626,1
627,Cluster 627,7
628,Cluster 628,2
629,Cluster 629,4
630,Cluster 630,1588
631,Cluster 631,1
632,Cluster 632,12
633,Cluster 633,1584
634,Cluster 634,6
635,Cluster 635,1524
636,Cluster 636,5
637,Cluster 637,93
638,Cluster 638,4
639,Cluster 639,122
640,Cluster 640,1
641,Cluster 641,1
642,Cluster 642,1
643,Cluster 643,1
644,Cluster 644,6
645,Cluster 645,3
646,Cluster 646,2
647,Cluster 647,20
648,Cluster 648,5
649,Cluster 649,1
650,Cluster 650,1
651,Cluster 651,1566
652,Cluster 652,1584
653,Cluster 653,1
654,Cluster 654,152
655,Cluster 655,36
656,Cluster 656,564
657,Cluster 657,1
658,Cluster 658,1582
659,Cluster 659,1576
660,Cluster 660,14
661,Cluster 661,47
662,Cluster 662,1570
663,Cluster 663,48
664,Cluster 664,4
665,Cluster 665,15
666,Cluster 666,1
667,Cluster 667,4
668,Cluster 668,3
669,Cluster 669,1
670,Cluster 670,1
671,Cluster 671,1490
672,Cluster 672,2
673,Cluster 673,72
674,Cluster 674,38
675,Cluster 675,1570
676,Cluster 676,1587
677,Cluster 677,1
678,Cluster 678,653
679,Cluster 679,1
680,Cluster 680,3
681,Cluster 681,6
682,Cluster 682,1
683,Cluster 683,1586
684,Cluster 684,23
685,Cluster 685,1
686,Cluster 686,1587
687,Cluster 687,12
688,Cluster 688,1
689,Cluster 689,3
690,Cluster 690,1
691,Cluster 691,79
692,Cluster 692,1
693,Cluster 693,1585
694,Cluster 694,1586
695,Cluster 695,16
696,Cluster 696,1584
697,Cluster 697,1089
698,Cluster 698,1586
699,Cluster 699,10
700,Cluster 700,5
701,Cluster 701,3
702,Cluster 702,3
703,Cluster 703,6
