, ,Number of genomes
0,Cluster 0,2
1,Cluster 1,21
2,Cluster 2,6
3,Cluster 3,1
4,Cluster 4,9
5,Cluster 5,1
6,Cluster 6,23
7,Cluster 7,20
8,Cluster 8,1
9,Cluster 9,131
10,Cluster 10,3
11,Cluster 11,6
12,Cluster 12,563
13,Cluster 13,11
14,Cluster 14,2
15,Cluster 15,234
16,Cluster 16,307
17,Cluster 17,9
18,Cluster 18,157
19,Cluster 19,8
20,Cluster 20,2
21,Cluster 21,32
22,Cluster 22,46
23,Cluster 23,4
24,Cluster 24,3
25,Cluster 25,13
26,Cluster 26,13
27,Cluster 27,2
28,Cluster 28,146
29,Cluster 29,3
30,Cluster 30,1
31,Cluster 31,21
32,Cluster 32,8
33,Cluster 33,5
34,Cluster 34,6
35,Cluster 35,2
36,Cluster 36,86
37,Cluster 37,2
38,Cluster 38,37
39,Cluster 39,14
40,Cluster 40,4
41,Cluster 41,3
42,Cluster 42,7
43,Cluster 43,1
44,Cluster 44,1
45,Cluster 45,117
46,Cluster 46,9
47,Cluster 47,20
48,Cluster 48,1
49,Cluster 49,3
50,Cluster 50,1
51,Cluster 51,12
52,Cluster 52,39
53,Cluster 53,1
54,Cluster 54,1
55,Cluster 55,8
56,Cluster 56,8
57,Cluster 57,1
58,Cluster 58,4
59,Cluster 59,22
60,Cluster 60,4
61,Cluster 61,28
62,Cluster 62,1
63,Cluster 63,4
64,Cluster 64,4
65,Cluster 65,1
66,Cluster 66,5
67,Cluster 67,1
68,Cluster 68,3
69,Cluster 69,31
70,Cluster 70,21
71,Cluster 71,19
72,Cluster 72,7
73,Cluster 73,9
74,Cluster 74,1
75,Cluster 75,7
76,Cluster 76,5
77,Cluster 77,177
78,Cluster 78,30
79,Cluster 79,6
80,Cluster 80,543
81,Cluster 81,5
82,Cluster 82,142
83,Cluster 83,2
84,Cluster 84,20
85,Cluster 85,122
86,Cluster 86,5
87,Cluster 87,3
88,Cluster 88,46
89,Cluster 89,7
90,Cluster 90,1
91,Cluster 91,568
92,Cluster 92,8
93,Cluster 93,90
94,Cluster 94,2
95,Cluster 95,2
96,Cluster 96,7
97,Cluster 97,6
98,Cluster 98,98
99,Cluster 99,15
100,Cluster 100,1
101,Cluster 101,540
102,Cluster 102,18
103,Cluster 103,1
104,Cluster 104,17
105,Cluster 105,2
106,Cluster 106,8
107,Cluster 107,40
108,Cluster 108,16
109,Cluster 109,17
110,Cluster 110,4
