,betweenness,weighted_betweenness,closeness,weighted_closeness,eigenvector,page_rank,degree,weighted_degree,clustering_coef
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_3",,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_2",,,,,,,,,
Dihydrofolate reductase (EC 1.5.1.3)_8,,,,,,,,,
Dihydrofolate reductase (EC 1.5.1.3)_1,,,,,,,,,265.0
Dihydrofolate reductase (EC 1.5.1.3)_7,,,669.0,,377.0,,,,
Dihydrofolate reductase (EC 1.5.1.3)_4,,,,,,,,,
Dihydrofolate reductase (EC 1.5.1.3)_6,,,,,,,,,
Dihydrofolate reductase (EC 1.5.1.3)_2,,,,,,,,,
Dihydrofolate reductase (EC 1.5.1.3)_9,532.0,487.0,,,764.0,,753.0,753.0,857.0
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_1",,,,,,,,,
