gene_representative,product_name
195.2024.peg.575,Putative periplasmic protein
195.2024.peg.1455,"Fe2+ ABC transporter, permease protein 2"
195.2024.peg.1693,4-hydroxybenzoyl-CoA thioesterase family active site
195.2024.peg.935,Cinnamyl alcohol dehydrogenase/reductase (EC 1.1.1.195) @ Alcohol dehydrogenase (EC 1.1.1.1)
195.2024.peg.24,"Two-component transcriptional response regulator, LuxR family"
195.2024.peg.1184,Positive regulator of CheA protein activity (CheW)
195.2024.peg.961,ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)
195.2024.peg.1317,Fumarate reductase flavoprotein subunit (EC 1.3.5.4)
195.2024.peg.704,Transcription termination protein NusA
195.2024.peg.949,hypothetical protein
195.2024.peg.360,hypothetical protein
195.2024.peg.952,Arsenical resistance operon repressor
195.2024.peg.491,GTP cyclohydrolase 1 type 2 homolog YbgI
195.2024.peg.1659,Flagellar synthesis regulator FleN
195.2024.peg.1000,"LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent"
195.2024.peg.139,"Transcriptional regulator, AraC family"
195.2024.peg.746,Iron compound ABC uptake transporter permease protein
195.2024.peg.83,"Putative oxidoreductase ferredoxin-type protein, clusters with CPO"
195.2024.peg.542,Septum-associated rare lipoprotein A
195.2024.peg.50,Carbon starvation protein A
195.2024.peg.153,hypothetical protein
195.2024.peg.1377,DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)
195.2024.peg.1243,Flagellar biosynthesis protein FlhB
195.2024.peg.1298,Uncharacterized membrane anchored protein HP_1479
195.2024.peg.701,FIG015287: Zinc protease
195.2024.peg.1077,Citrate synthase (si) (EC 2.3.3.1)
195.2024.peg.703,Integral membrane protein
195.2024.peg.738,N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234)
195.2024.peg.18,"Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)"
195.2024.peg.740,1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)
195.2024.peg.285,SSU ribosomal protein S2p (SAe)
195.2024.peg.1309,Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)
195.2024.peg.62,Cytosol aminopeptidase PepA (EC 3.4.11.1)
195.2024.peg.1198,Phosphoglycerate transporter protein PgtP
195.2024.peg.596,"UFA synthesis enzyme FabX, enoyl-[ACP] 2,3-dehydrogenase/trans-2-decenoyl-[ACP] isomerase"
195.2024.peg.237,UDP-glucose 4-epimerase (EC 5.1.3.2)
195.2024.peg.1429,Ribonuclease III (EC 3.1.26.3)
195.2024.peg.69,ATP synthase F0 sector subunit c (EC 3.6.3.14)
195.2024.peg.1387,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)"
195.2024.peg.494,N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18)
195.2024.peg.982,"Ferric iron ABC transporter, iron-binding protein"
195.2024.peg.1473,Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)
195.2024.peg.792,Phosphoglycerate kinase (EC 2.7.2.3)
195.2024.peg.135,Peptidoglycan glycosyltransferase FtsW (EC 2.4.1.129)
