gene_representative,pan_gene_class,product_name,frequency
562.19186.peg.1049,accessory,T1SS secreted agglutinin RTX_1,229
562.22879.peg.493,unique,T1SS secreted agglutinin RTX_17,20
562.7699.peg.680,unique,T1SS secreted agglutinin RTX_37,10
562.22452.peg.2000,unique,T1SS secreted agglutinin RTX_3,20
562.23833.peg.3029,unique,T1SS secreted agglutinin RTX_24,6
562.22834.peg.2582,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_16",5
562.23497.peg.4112,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_28",14
562.22996.peg.2494,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_18",13
562.22666.peg.2561,unique,T1SS secreted agglutinin RTX_11,5
562.23913.peg.35,accessory,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_28",1557
562.22527.peg.1941,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_7",27
562.23368.peg.1843,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_24",17
562.22435.peg.4511,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_2",89
562.22776.peg.3093,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_64,112
562.22635.peg.4128,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_46,11
562.22824.peg.4653,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_68,15
562.22563.peg.4111,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_36,13
562.23206.peg.4309,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_111,10
562.22430.peg.4309,accessory,Polyketide synthase modules and related proteins_7,572
562.12959.peg.1832,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_1",15
562.23714.peg.4100,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_132,17
562.42821.peg.3890,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_43",7
562.22520.peg.3880,unique,T1SS secreted agglutinin RTX_5,6
562.23509.peg.1251,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_56,39
562.12959.peg.3518,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_1,93
562.22452.peg.2770,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_4",38
562.22454.peg.462,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_3",17
562.42838.peg.4273,unique,Phage protein_653,14
562.22789.peg.3714,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_31,43
562.12959.peg.2330,accessory,RatA homolog_1,468
562.22428.peg.3756,accessory,RatA homolog_2,848
562.22436.peg.4787,unique,Invasin_6,51
562.22831.peg.3169,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_32,13
562.22607.peg.4447,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_43,126
562.23493.peg.4851,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_21",8
562.23511.peg.17,unique,Invasin_46,17
562.23619.peg.4594,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_124,6
562.22450.peg.23,unique,Polyketide synthase modules and related proteins_11,115
562.16325.peg.832,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_2,86
562.22603.peg.2285,unique,RatA homolog_10,25
562.12960.peg.2226,unique,Invasin_2,118
562.42636.peg.104,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_74,46
562.22482.peg.1296,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_5",19
562.42854.peg.3844,unique,Phage protein_660,30
562.12960.peg.5378,unique,Phage protein_23,111
562.42782.peg.525,accessory,COG3210: Large exoproteins involved in heme utilization or adhesion_89,179
562.23384.peg.4254,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_25",18
562.23720.peg.1422,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_25",13
562.22666.peg.2562,unique,T1SS secreted agglutinin RTX_10,6
562.22559.peg.4313,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_14,148
562.22529.peg.3559,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_12,14
562.23220.peg.984,accessory,Polyketide synthase modules and related proteins_48,447
562.7652.peg.3530,unique,RatA homolog_33,5
562.22700.peg.3444,unique,Invasin_22,16
562.7693.peg.3356,unique,DEAD-box helicase-related protein_17,137
562.22434.peg.4934,unique,putative RNA helicase_1,59
562.22730.peg.3525,unique,RatA homolog_16,13
562.23665.peg.474,accessory,iron aquisition yersiniabactin synthesis enzyme (Irp2) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_23,1566
562.22903.peg.3532,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_13",7
562.12959.peg.1833,unique,Polyketide synthase modules and related proteins_1,15
562.22464.peg.3686,unique,putative surface-exposed virulence protein_2,37
562.22510.peg.1028,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_16,7
562.23584.peg.1180,accessory,COG3210: Large exoproteins involved in heme utilization or adhesion_59,263
562.22507.peg.2921,accessory,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_8,1171
562.22618.peg.2293,unique,putative surface-exposed virulence protein_4,119
562.23221.peg.2088,unique,putative surface-exposed virulence protein_15,8
562.22430.peg.4890,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_2,18
562.23675.peg.2487,unique,putative surface-exposed virulence protein_20,21
562.17721.peg.3310,unique,DNA helicase related protein_1,9
562.23914.peg.2872,unique,Invasin_61,12
562.22758.peg.4534,unique,Bacteriophage N4 adsorption protein B_14,120
562.23522.peg.4190,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_57,103
562.22812.peg.4378,accessory,Polyketide synthase modules and related proteins_42,457
562.22988.peg.2791,unique,Invasin_37,77
562.23275.peg.10,unique,iron aquisition yersiniabactin synthesis enzyme (Irp2) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_20,12
562.22590.peg.2551,unique,RatA homolog_8,9
562.31452.peg.2719,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_29",20
562.12960.peg.1621,accessory,Uncharacterized lipoprotein YdeK_1,462
562.22755.peg.3729,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_28,88
562.23649.peg.3464,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_32",23
562.22489.peg.4430,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_7,22
562.22435.peg.3442,unique,RatA homolog_4,95
562.22661.peg.4320,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_19,80
562.22436.peg.3525,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_3",80
562.23207.peg.3172,unique,"Phage tail tip, host specificity protein J_77",19
562.22661.peg.3576,unique,DNA phosphorothioation-dependent restriction protein DptH / AAA-like domain_2,52
562.22429.peg.2602,unique,DNA phosphorothioation-dependent restriction protein DptH / AAA-like domain_1,29
562.23173.peg.3240,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_17",8
562.16324.peg.2895,unique,Cell surface protein_2,23
562.22448.peg.4123,unique,Polyketide synthase modules and related proteins_10,66
562.22639.peg.3708,unique,putative surface-exposed virulence protein_6,29
562.22485.peg.5193,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_6,21
562.23849.peg.975,core,Alpha-2-macroglobulin_7,1951
562.22610.peg.4624,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_44,39
562.22431.peg.1329,unique,Regulator of nonsense transcripts 1 homolog_1,18
