cluster,product_name
Cluster 0,"helicase, Snf2 family"
Cluster 1,hypothetical protein
Cluster 2,hypothetical protein
Cluster 3,hypothetical protein
Cluster 4,DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
Cluster 5,Glutamate synthase [NADPH] large chain (EC 1.4.1.13)
Cluster 6,"helicase, Snf2 family"
Cluster 7,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
Cluster 8,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72) / Type I restriction-modification system, specificity subunit S"
Cluster 9,"helicase, Snf2 family"
Cluster 10,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72) / Type I restriction-modification system, specificity subunit S"
Cluster 11,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
Cluster 12,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72) / Type I restriction-modification system, specificity subunit S"
Cluster 13,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72) / Type I restriction-modification system, specificity subunit S"
Cluster 14,hypothetical protein
Cluster 15,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72) / Type I restriction-modification system, specificity subunit S"
Cluster 16,"Putative type IIS restriction /modification enzyme, N-terminal half"
Cluster 17,"Putative type IIS restriction /modification enzyme, N-terminal half"
Cluster 18,hypothetical protein
Cluster 19,"Putative type IIS restriction /modification enzyme, N-terminal half"
Cluster 20,"Putative type IIS restriction /modification enzyme, N-terminal half"
Cluster 21,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
Cluster 22,"Putative type IIS restriction /modification enzyme, N-terminal half"
Cluster 23,hypothetical protein
Cluster 24,hypothetical protein
Cluster 25,hypothetical protein
Cluster 26,DNA polymerase III alpha subunit (EC 2.7.7.7)
Cluster 27,Pyruvate-flavodoxin oxidoreductase
Cluster 28,hypothetical protein
Cluster 29,Lysophospholipid transporter LplT / 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) / Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20)
Cluster 30,Proline dehydrogenase (EC 1.5.5.2) / Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.2.1.88)
Cluster 31,hypothetical protein
Cluster 32,hypothetical protein
Cluster 33,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
Cluster 34,"helicase, Snf2 family"
Cluster 35,hypothetical protein
Cluster 36,Filamentous haemagglutinin domain protein
Cluster 37,hypothetical protein
Cluster 38,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)
Cluster 39,hypothetical protein
Cluster 40,Putative cytochrome C-type biogenesis protein
Cluster 41,CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)
Cluster 42,Glutamate synthase [NADPH] large chain (EC 1.4.1.13)
Cluster 43,"Beta-1,3-glucosyltransferase"
Cluster 44,"Putative type IIS restriction /modification enzyme, N-terminal half"
Cluster 45,"Beta-1,3-glucosyltransferase"
Cluster 46,Putative secreted serine protease (EC 3.4.21.-)
Cluster 47,Adenine-specific DNA methyltransferase
Cluster 48,"helicase, Snf2 family"
Cluster 49,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => CmeB"
Cluster 50,"Beta-1,3-glucosyltransferase"
Cluster 51,DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
Cluster 52,"Beta-1,3-glucosyltransferase"
Cluster 53,"Beta-1,3-glucosyltransferase"
Cluster 54,"Beta-1,3-glucosyltransferase"
Cluster 55,"Putative type IIS restriction /modification enzyme, N-terminal half"
Cluster 56,Filamentous haemagglutinin domain protein
Cluster 57,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => CmeF"
Cluster 58,Filamentous haemagglutinin domain protein
Cluster 59,DNA translocase FtsK
Cluster 60,CRISPR-associated endonuclease Cas9
Cluster 61,hypothetical protein
Cluster 62,IncF plasmid conjugative transfer protein TraG
Cluster 63,Transcription-repair coupling factor
Cluster 64,hypothetical protein
Cluster 65,hypothetical protein
Cluster 66,Filamentous haemagglutinin domain protein
Cluster 67,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)"
Cluster 68,hypothetical protein
Cluster 69,Filamentous haemagglutinin domain protein
Cluster 70,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72) / Type I restriction-modification system, specificity subunit S"
Cluster 71,"Predicted D-lactate dehydrogenase, Fe-S protein, FAD/FMN-containing"
Cluster 72,hypothetical protein
Cluster 73,Excinuclease ABC subunit A
Cluster 74,"Putative type IIS restriction /modification enzyme, N-terminal half"
Cluster 75,"Formate dehydrogenase-O, major subunit (EC 1.2.1.2) @ selenocysteine-containing"
Cluster 76,hypothetical protein
Cluster 77,IncF plasmid conjugative transfer protein TraG
Cluster 78,Periplasmic nitrate reductase (EC 1.7.99.4)
Cluster 79,"Predicted D-lactate dehydrogenase, Fe-S protein, FAD/FMN-containing"
Cluster 80,"Inner membrane protein forms channel for type IV secretion of T-DNA complex, VirB3 / ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex, VirB4"
Cluster 81,hypothetical protein
Cluster 82,Helicase
Cluster 83,Isoleucyl-tRNA synthetase (EC 6.1.1.5)
Cluster 84,RecD-like DNA helicase YrrC
Cluster 85,IncF plasmid conjugative transfer protein TraG
Cluster 86,hypothetical protein
Cluster 87,DNA polymerase I (EC 2.7.7.7)
Cluster 88,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
Cluster 89,Paralog of flagellar hook protein FlgE
Cluster 90,Valyl-tRNA synthetase (EC 6.1.1.9)
Cluster 91,hypothetical protein
Cluster 92,Chaperone protein ClpB (ATP-dependent unfoldase)
Cluster 93,DNA gyrase subunit A (EC 5.99.1.3)
Cluster 94,Protein translocase subunit SecA
Cluster 95,"Beta-1,3-glucosyltransferase"
Cluster 96,Uncharacterized membrane-anchored protein HP0586
Cluster 97,Translation initiation factor 2
Cluster 98,Paralog of flagellar hook protein FlgE
Cluster 99,Type III restriction-modification system DNA endonuclease res (EC 3.1.21.5)
Cluster 100,"Beta-1,3-glucosyltransferase"
Cluster 101,hypothetical protein
Cluster 102,Aconitate hydratase 2 (EC 4.2.1.3)
Cluster 103,"Beta-1,3-glucosyltransferase"
