,patric_id,classification,product,antibiotics,feature_id,gene,genome_id,refseq_locus_tag,source,evidence,query_coverage
10,fig|562.12959.peg.5330,antibiotic inactivation enzyme,Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating,"ciprofloxacin, dibekacin, arbekacin, netilmicin, neomycin, isepamicin, sisomicin, tobramycin, amikacin, kanamycin a, gentamicin b",PATRIC.562.12959.MPCP01000004.CDS.16667.17266.fwd,,562.12959,,PATRIC,K-mer Search,
11,fig|562.12959.peg.387,efflux pump conferring antibiotic resistance,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM","ampicillin, amoxicillin/clavulanic acid, azithromycin, aztreonam, ceftazidime, ceftriaxone, chloramphenicol, ciprofloxacin, colistin, erythromycin, meropenem, nalidixic acid, novobiocin, panipenem, tetracycline, ticarcillin, trimethoprim, trimethoprim/sulfamethoxazole, sulfamethoxazole ",PATRIC.562.12959.MPCP01000001.CDS.370280.371038.rev,,562.12959,,PATRIC,K-mer Search,
13,fig|562.12959.peg.2503,efflux pump conferring antibiotic resistance,"Multidrug efflux system EmrKY-TolC, membrane fusion component EmrK",tetracycline,PATRIC.562.12959.MPCP01000001.CDS.2559690.2560853.fwd,,562.12959,,PATRIC,K-mer Search,
15,fig|562.12959.peg.3419,"antibiotic resistance gene cluster, cassette, or operon",Multiple antibiotic resistance protein MarR,"cefalothin, chloramphenicol, tigecycline, ampicillin, tetracycline, rifampin",PATRIC.562.12959.MPCP01000001.CDS.3483371.3483805.rev,,562.12959,,PATRIC,K-mer Search,
17,fig|562.12959.peg.4379,efflux pump conferring antibiotic resistance,AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump,"ciprofloxacin, tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.12959.MPCP01000001.CDS.4387057.4387206.rev,,562.12959,,PATRIC,K-mer Search,
29,fig|562.12961.peg.4224,"antibiotic target protection protein, fluoroquinolone resistance gene",Transcription-repair coupling factor,ciprofloxacin,PATRIC.562.12961.FLXF01000001.CDS.1868973.1872419.fwd,mfd,562.12961,SAMEA3531867_01775,CARD,BLAT,100.0
30,fig|562.12961.peg.4459,efflux pump conferring antibiotic resistance,"Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum","tetracycline, rhodamine, benzalkonium chloride",PATRIC.562.12961.FLXF01000001.CDS.2122590.2123822.rev,cmr,562.12961,SAMEA3531867_02008,PATRIC,K-mer Search,
38,fig|562.12961.peg.673,antibiotic target in susceptible species,Dihydrofolate reductase (EC 1.5.1.3),"trimethoprim, brodimoprim, tetroxoprim, iclaprim",PATRIC.562.12961.FLXF01000005.CDS.198711.199190.rev,folA,562.12961,SAMEA3531867_04124,PATRIC,K-mer Search,
46,fig|562.12961.peg.2699,antibiotic target in susceptible species,DNA gyrase subunit A (EC 5.99.1.3),"clofazimine, ciprofloxacin, gatifloxacin, levofloxacin, moxifloxacin, nalidixic acid, ofloxacin, sparfloxacin, trovafloxacin",PATRIC.562.12961.FLXF01000001.CDS.328708.331341.fwd,gyrA,562.12961,SAMEA3531867_00317,PATRIC,K-mer Search,
48,fig|562.12961.peg.4569,efflux pump conferring antibiotic resistance,AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump,"ciprofloxacin, tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.12961.FLXF01000001.CDS.2242281.2242430.rev,ybhT,562.12961,SAMEA3531867_02114,PATRIC,K-mer Search,
56,fig|562.12962.peg.3585,antibiotic inactivation enzyme,Class A beta-lactamase (EC 3.5.2.6) => SHV family,"ampicillin, cefazolin, ceftriaxone, cephalothin",PATRIC.562.12962.FLWH01000011.CDS.17220.18080.fwd,bla_1,562.12962,SAMEA3531745_04196,PATRIC,K-mer Search,
61,fig|562.12962.peg.5257,efflux pump conferring antibiotic resistance,"Tetracycline resistance, MFS efflux pump => Tet(A)",tetracycline,PATRIC.562.12962.FLWH01000022.CDS.2399.3598.fwd,tetA,562.12962,SAMEA3531745_05093,CARD,BLAT,46.0
64,fig|562.12962.peg.3333,regulator modulating expression of antibiotic resistance genes,"Transcriptional regulator of acrAB operon, AcrR","tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.12962.FLWH01000001.CDS.996866.997516.rev,acrR_1,562.12962,SAMEA3531745_00938,PATRIC,K-mer Search,
65,fig|562.12962.peg.1991,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)",ciprofloxacin ,PATRIC.562.12962.FLWH01000004.CDS.1308.4418.rev,acrF,562.12962,SAMEA3531745_02051,PATRIC,K-mer Search,
69,fig|562.12962.peg.1446,antibiotic target in susceptible species,SSU ribosomal protein S12p (S23e),streptomycin,PATRIC.562.12962.FLWH01000006.CDS.356508.356882.fwd,rpsL,562.12962,SAMEA3531745_03114,PATRIC,K-mer Search,
78,fig|562.13502.peg.3456,antibiotic inactivation enzyme,Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family),"streptomycin, spectinomycin",PATRIC.562.13502.MJAL01000171.CDS.2465.3253.fwd,,562.13502,BHG39_07950,PATRIC,K-mer Search,
81,fig|562.13502.peg.4065,antibiotic target in susceptible species,SSU ribosomal protein S12p (S23e),streptomycin,PATRIC.562.13502.MJAL01000183.CDS.3111.3485.rev,,562.13502,BHG39_22210,PATRIC,K-mer Search,
89,fig|562.13502.peg.2620,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)",ciprofloxacin ,PATRIC.562.13502.MJAL01000159.CDS.5859.8963.rev,,562.13502,BHG39_11135,PATRIC,K-mer Search,
90,fig|562.13502.peg.875,efflux pump conferring antibiotic resistance,"Tetracycline resistance, MFS efflux pump => Tet(A)",tetracycline,PATRIC.562.13502.MJAL01000022.CDS.2650.3849.rev,,562.13502,BHG39_01010,CARD,BLAT,46.0
107,fig|562.16324.peg.106,"antibiotic resistance gene cluster, cassette, or operon",Multiple antibiotic resistance protein MarA,"cefalothin, chloramphenicol, tigecycline, ampicillin, tetracycline, rifampin",PATRIC.562.16324.CP020048.CDS.89130.89513.rev,,562.16324,AM365_00525,PATRIC,K-mer Search,
110,fig|562.16324.peg.1308,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA","ciprofloxacin, tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.16324.CP020048.CDS.1245013.1246206.fwd,,562.16324,AM365_06600,PATRIC,K-mer Search,
121,fig|562.16324.peg.485,regulator modulating expression of antibiotic resistance genes,DNA-binding protein H-NS,"cloxacillin, oxacillin, ciprofloxacin, norfloxacin, erythromycin, tetracycline ",PATRIC.562.16324.CP020048.CDS.440494.440907.fwd,,562.16324,AM365_02405,PATRIC,K-mer Search,
131,fig|562.16325.peg.4891,antibiotic inactivation enzyme,Class A beta-lactamase (EC 3.5.2.6) => TEM family,"amoxicillin/clavulanic acid, amoxicillin, ampicillin, cephalothin",PATRIC.562.16325.CP020060.CDS.34459.35319.fwd,,562.16325,AM440_24880,PATRIC,K-mer Search,
139,fig|562.16325.peg.3494,antibiotic target in susceptible species,SSU ribosomal protein S12p (S23e),streptomycin,PATRIC.562.16325.CP020058.CDS.3400720.3401094.fwd,,562.16325,AM440_17765,PATRIC,K-mer Search,
142,fig|562.16325.peg.3013,gene conferring resistance via absence,16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170),streptomycin,PATRIC.562.16325.CP020058.CDS.2919592.2920215.fwd,,562.16325,AM440_15370,PATRIC,K-mer Search,
146,fig|562.16325.peg.4741,antibiotic inactivation enzyme,Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id,streptomycin,PATRIC.562.16325.CP020059.CDS.12506.13342.fwd,,562.16325,AM440_24150,PATRIC,K-mer Search,
148,fig|562.16325.peg.4912,antibiotic inactivation enzyme,Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family),"streptomycin, spectinomycin",PATRIC.562.16325.CP020060.CDS.48201.48980.rev,,562.16325,AM440_24990,PATRIC,K-mer Search,
157,fig|562.16326.peg.1681,antibiotic target in susceptible species,SSU ribosomal protein S12p (S23e),streptomycin,PATRIC.562.16326.CP020055.CDS.1621556.1621930.rev,,562.16326,AM448_08475,PATRIC,K-mer Search,
162,fig|562.16326.peg.4567,"antibiotic resistance gene cluster, cassette, or operon",Multiple antibiotic resistance protein MarA,"cefalothin, chloramphenicol, tigecycline, ampicillin, tetracycline, rifampin",PATRIC.562.16326.CP020055.CDS.4446017.4446400.fwd,,562.16326,AM448_23125,PATRIC,K-mer Search,
166,fig|562.16326.peg.4566,"antibiotic resistance gene cluster, cassette, or operon",Multiple antibiotic resistance protein MarR,"cefalothin, chloramphenicol, tigecycline, ampicillin, tetracycline, rifampin",PATRIC.562.16326.CP020055.CDS.4445563.4445997.fwd,,562.16326,AM448_23120,PATRIC,K-mer Search,
182,fig|562.16327.peg.4832,gene conferring resistance via absence,16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170),streptomycin,PATRIC.562.16327.CP020116.CDS.4650911.4651534.fwd,,562.16327,AM483_24480,PATRIC,K-mer Search,
187,fig|562.16327.peg.5256,antibiotic target in susceptible species,Dihydrofolate reductase (EC 1.5.1.3),"trimethoprim, brodimoprim, tetroxoprim, iclaprim",PATRIC.562.16327.CP020117.CDS.58771.59244.rev,,562.16327,AM483_26610,PATRIC,K-mer Search,
201,fig|562.16466.peg.1460,gene conferring resistance via absence,16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170),streptomycin,PATRIC.562.16466.CP021175.CDS.1436543.1437166.fwd,,562.16466,CA593_07290,PATRIC,K-mer Search,
204,fig|562.16466.peg.157,regulator modulating expression of antibiotic resistance genes,"Transcriptional regulator of acrAB operon, AcrR","tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.16466.CP021175.CDS.163402.164049.rev,,562.16466,CA593_00810,PATRIC,K-mer Search,
