cluster,gene_representative
Cluster 0,195.2029.peg.1780
Cluster 1,195.2024.peg.1611
Cluster 2,195.2136.peg.1150
Cluster 3,195.2145.peg.407
Cluster 4,195.2024.peg.685
Cluster 5,195.2024.peg.1140
Cluster 6,195.2240.peg.1653
Cluster 7,195.2282.peg.946
Cluster 8,195.2024.peg.149
Cluster 9,195.2133.peg.1513
Cluster 10,195.2034.peg.212
Cluster 11,195.2118.peg.1213
Cluster 12,195.2102.peg.199
Cluster 13,195.2222.peg.937
Cluster 14,195.2130.peg.4
Cluster 15,195.2063.peg.220
Cluster 16,195.2138.peg.1774
Cluster 17,195.2179.peg.332
Cluster 18,195.2037.peg.1611
Cluster 19,195.2136.peg.1603
Cluster 20,195.2029.peg.727
Cluster 21,195.2036.peg.815
Cluster 22,195.2123.peg.1684
Cluster 23,195.2294.peg.1787
Cluster 24,195.2113.peg.1254
Cluster 25,195.2117.peg.1680
Cluster 26,195.2024.peg.478
Cluster 27,195.2024.peg.863
Cluster 28,195.2244.peg.1701
Cluster 29,195.2024.peg.1552
Cluster 30,195.2024.peg.891
Cluster 31,195.2130.peg.1756
Cluster 32,195.2083.peg.1040
Cluster 33,195.2196.peg.1724
Cluster 34,195.2144.peg.1898
Cluster 35,195.2121.peg.753
Cluster 36,195.2045.peg.475
Cluster 37,195.2138.peg.1021
Cluster 38,195.2024.peg.1180
Cluster 39,195.2148.peg.567
Cluster 40,195.2024.peg.110
Cluster 41,195.2308.peg.344
Cluster 42,195.2214.peg.1775
Cluster 43,195.2048.peg.1475
Cluster 44,195.2270.peg.1835
Cluster 45,195.2131.peg.81
Cluster 46,195.2063.peg.898
Cluster 47,195.2151.peg.1256
Cluster 48,195.2267.peg.1743
Cluster 49,195.2024.peg.1273
Cluster 50,195.2294.peg.509
Cluster 51,195.2060.peg.1347
Cluster 52,195.2121.peg.752
Cluster 53,195.2027.peg.1286
Cluster 54,195.2031.peg.763
Cluster 55,195.2053.peg.1826
Cluster 56,195.2056.peg.461
Cluster 57,195.2024.peg.130
Cluster 58,195.2048.peg.404
Cluster 59,195.2069.peg.1656
Cluster 60,195.2063.peg.1276
Cluster 61,195.2086.peg.821
Cluster 62,195.2187.peg.213
Cluster 63,195.2024.peg.189
Cluster 64,195.2120.peg.45
Cluster 65,195.2209.peg.875
Cluster 66,195.2230.peg.12
Cluster 67,195.2217.peg.1039
Cluster 68,195.2034.peg.745
Cluster 69,195.2039.peg.12
Cluster 70,195.2281.peg.205
Cluster 71,195.2186.peg.1652
Cluster 72,195.2220.peg.1839
Cluster 73,195.2024.peg.1251
Cluster 74,195.2039.peg.1687
Cluster 75,195.2024.peg.900
Cluster 76,195.2027.peg.966
Cluster 77,195.2059.peg.1754
Cluster 78,195.2024.peg.1567
Cluster 79,195.2039.peg.890
Cluster 80,195.2029.peg.1806
Cluster 81,195.2034.peg.1533
Cluster 82,195.2024.peg.870
Cluster 83,195.2024.peg.163
Cluster 84,195.2060.peg.1549
Cluster 85,195.2209.peg.1933
Cluster 86,195.2063.peg.1846
Cluster 87,195.2024.peg.1246
Cluster 88,195.2276.peg.1013
Cluster 89,195.2057.peg.789
Cluster 90,195.2024.peg.1572
Cluster 91,195.2244.peg.1419
Cluster 92,195.2243.peg.79
Cluster 93,195.2052.peg.125
Cluster 94,195.2024.peg.1715
Cluster 95,195.2053.peg.1830
Cluster 96,195.2024.peg.638
Cluster 97,195.2024.peg.1022
Cluster 98,195.2171.peg.195
Cluster 99,195.2026.peg.981
Cluster 100,195.2039.peg.953
Cluster 101,195.2244.peg.1840
Cluster 102,195.2024.peg.1509
Cluster 103,195.2036.peg.817
Cluster 104,195.2057.peg.517
Cluster 105,195.2024.peg.325
Cluster 106,195.2064.peg.1122
Cluster 107,195.2024.peg.659
Cluster 108,195.2144.peg.1840
Cluster 109,195.2087.peg.1267
Cluster 110,195.2207.peg.919
Cluster 111,195.2031.peg.1398
Cluster 112,195.2033.peg.300
Cluster 113,195.2085.peg.1389
Cluster 114,195.2113.peg.370
Cluster 115,195.2121.peg.150
Cluster 116,195.2033.peg.1766
Cluster 117,195.2039.peg.1694
Cluster 118,195.2024.peg.1298
Cluster 119,195.2024.peg.1346
Cluster 120,195.2024.peg.766
Cluster 121,195.2102.peg.1813
Cluster 122,195.2041.peg.1679
Cluster 123,195.2084.peg.1459
Cluster 124,195.2037.peg.1373
Cluster 125,195.2054.peg.165
Cluster 126,195.2058.peg.1309
Cluster 127,195.2024.peg.195
Cluster 128,195.2113.peg.357
Cluster 129,195.2034.peg.1532
Cluster 130,195.2314.peg.361
Cluster 131,195.2054.peg.279
Cluster 132,195.2030.peg.716
Cluster 133,195.2144.peg.1665
Cluster 134,195.2113.peg.991
Cluster 135,195.2179.peg.889
Cluster 136,195.2294.peg.1666
Cluster 137,195.2151.peg.1529
Cluster 138,195.2038.peg.1338
Cluster 139,195.2024.peg.177
Cluster 140,195.2024.peg.1152
Cluster 141,195.2063.peg.1900
Cluster 142,195.2024.peg.871
Cluster 143,195.2024.peg.1338
Cluster 144,195.2033.peg.203
Cluster 145,195.2174.peg.1764
Cluster 146,195.2063.peg.947
Cluster 147,195.2125.peg.1361
Cluster 148,195.2024.peg.515
Cluster 149,195.2038.peg.841
Cluster 150,195.2187.peg.1561
Cluster 151,195.2024.peg.30
Cluster 152,195.2031.peg.1221
Cluster 153,195.2130.peg.1318
Cluster 154,195.2056.peg.463
Cluster 155,195.2024.peg.1130
Cluster 156,195.2055.peg.683
Cluster 157,195.2120.peg.1044
Cluster 158,195.2061.peg.455
Cluster 159,195.2194.peg.1111
Cluster 160,195.2048.peg.1606
Cluster 161,195.2024.peg.979
Cluster 162,195.2044.peg.1602
Cluster 163,195.2024.peg.305
Cluster 164,195.2027.peg.1477
Cluster 165,195.2024.peg.5
Cluster 166,195.2024.peg.896
Cluster 167,195.2039.peg.955
Cluster 168,195.2121.peg.679
Cluster 169,195.2130.peg.1085
Cluster 170,195.2136.peg.1147
Cluster 171,195.2113.peg.1648
Cluster 172,195.2024.peg.1612
Cluster 173,195.2286.peg.951
Cluster 174,195.2024.peg.1029
Cluster 175,195.2024.peg.374
Cluster 176,195.2039.peg.1713
Cluster 177,195.2024.peg.150
Cluster 178,195.2086.peg.730
Cluster 179,195.2024.peg.637
Cluster 180,195.2026.peg.1520
Cluster 181,195.2288.peg.1744
Cluster 182,195.2048.peg.1822
Cluster 183,195.2145.peg.1727
Cluster 184,195.2220.peg.1762
Cluster 185,195.2024.peg.598
Cluster 186,195.2087.peg.850
Cluster 187,195.2029.peg.1787
Cluster 188,195.2295.peg.1526
Cluster 189,195.2026.peg.973
Cluster 190,195.2024.peg.1319
Cluster 191,195.2024.peg.1703
Cluster 192,195.2186.peg.681
Cluster 193,195.2024.peg.9
Cluster 194,195.2048.peg.1832
Cluster 195,195.2060.peg.1435
Cluster 196,195.2036.peg.808
Cluster 197,195.2027.peg.1473
Cluster 198,195.2051.peg.1698
Cluster 199,195.2032.peg.1646
Cluster 200,195.2098.peg.1199
Cluster 201,195.2219.peg.393
Cluster 202,195.2025.peg.1542
Cluster 203,195.2039.peg.1703
