Query,COG Category,GO terms
#query,COG_category,GOs
fig|195.2024.peg.575,S,-
fig|195.2024.peg.1455,V,-
fig|195.2024.peg.1693,S,-
fig|195.2024.peg.935,C,-
fig|195.2024.peg.24,T,-
fig|195.2024.peg.1184,NT,-
fig|195.2024.peg.961,O,-
fig|195.2024.peg.1317,C,-
fig|195.2024.peg.704,K,-
fig|195.2024.peg.949,S,-
fig|195.2024.peg.360,-,-
fig|195.2024.peg.952,K,-
fig|195.2024.peg.491,S,-
fig|195.2024.peg.1659,D,-
fig|195.2024.peg.1000,J,-
fig|195.2024.peg.139,K,-
fig|195.2024.peg.746,P,-
fig|195.2024.peg.83,C,-
fig|195.2024.peg.542,M,-
fig|195.2024.peg.50,T,-
fig|195.2024.peg.1377,K,-
fig|195.2024.peg.1243,N,-
fig|195.2024.peg.1298,O,-
fig|195.2024.peg.701,S,-
fig|195.2024.peg.1077,H,-
fig|195.2024.peg.703,EGP,-
fig|195.2024.peg.738,J,-
fig|195.2024.peg.18,EH,-
fig|195.2024.peg.740,I,-
fig|195.2024.peg.285,J,-
fig|195.2024.peg.1309,J,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"
fig|195.2024.peg.62,E,-
fig|195.2024.peg.1198,G,-
fig|195.2024.peg.596,S,-
fig|195.2024.peg.237,M,-
fig|195.2024.peg.1429,J,-
fig|195.2024.peg.69,C,-
fig|195.2024.peg.1387,E,-
fig|195.2024.peg.494,F,-
fig|195.2024.peg.982,P,-
fig|195.2024.peg.1473,C,-
fig|195.2024.peg.792,F,-
fig|195.2024.peg.135,D,-
fig|195.2024.peg.407,H,-
fig|195.2024.peg.1619,K,-
fig|195.2024.peg.264,K,-
fig|195.2024.peg.1582,J,-
fig|195.2024.peg.979,P,-
fig|195.2024.peg.1433,O,-
fig|195.2024.peg.1080,L,-
fig|195.2024.peg.609,-,-
fig|195.2024.peg.229,S,"GO:0003674,GO:0003824,GO:0006464,GO:0006486,GO:0006487,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009987,GO:0016740,GO:0016746,GO:0016747,GO:0018193,GO:0018196,GO:0018279,GO:0019538,GO:0034645,GO:0036211,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0070085,GO:0071704,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576"
fig|195.2024.peg.615,E,-
fig|195.2024.peg.692,U,-
fig|195.2024.peg.1395,P,-
fig|195.2024.peg.1048,M,-
fig|195.2024.peg.1704,O,-
fig|195.2024.peg.986,C,"GO:0008150,GO:0009987,GO:0010035,GO:0010038,GO:0010039,GO:0042221,GO:0050896,GO:0051716,GO:0070887,GO:0071241,GO:0071248,GO:0071281"
fig|195.2024.peg.98,J,-
fig|195.2024.peg.1319,S,-
fig|195.2024.peg.577,MU,-
fig|195.2024.peg.1586,S,-
fig|195.2024.peg.215,CO,-
fig|195.2024.peg.755,T,-
fig|195.2024.peg.836,GM,-
fig|195.2024.peg.684,K,-
fig|195.2024.peg.1069,G,-
fig|195.2024.peg.319,C,-
fig|195.2024.peg.347,O,-
fig|195.2024.peg.97,O,-
fig|195.2024.peg.1695,L,-
fig|195.2024.peg.799,I,-
fig|195.2024.peg.129,M,-
fig|195.2024.peg.195,J,-
fig|195.2024.peg.148,K,-
fig|195.2024.peg.832,M,-
fig|195.2024.peg.295,KT,-
fig|195.2024.peg.525,S,-
fig|195.2024.peg.1374,J,-
fig|195.2024.peg.1210,Q,-
fig|195.2024.peg.545,T,-
fig|195.2024.peg.682,G,-
fig|195.2024.peg.1351,C,-
fig|195.2024.peg.599,K,-
fig|195.2024.peg.631,C,-
fig|195.2024.peg.41,-,-
fig|195.2024.peg.388,-,-
fig|195.2024.peg.853,-,-
fig|195.2024.peg.921,M,-
fig|195.2024.peg.458,S,-
fig|195.2024.peg.207,F,-
fig|195.2024.peg.526,S,-
fig|195.2024.peg.156,M,-
fig|195.2024.peg.616,S,-
fig|195.2024.peg.1285,C,-
fig|195.2024.peg.739,S,-
fig|195.2024.peg.57,NT,-
fig|195.2024.peg.424,H,-
fig|195.2024.peg.1376,J,-
fig|195.2024.peg.1574,P,-
fig|195.2024.peg.1359,C,-
fig|195.2024.peg.1216,P,-
fig|195.2024.peg.948,S,-
fig|195.2024.peg.1494,-,-
fig|195.2024.peg.140,H,-
fig|195.2024.peg.259,M,-
fig|195.2024.peg.254,H,-
fig|195.2024.peg.1227,H,-
fig|195.2024.peg.1593,P,-
fig|195.2024.peg.1009,C,-
fig|195.2024.peg.40,S,-
fig|195.2024.peg.1463,M,-
fig|195.2024.peg.1611,S,-
fig|195.2024.peg.954,P,-
fig|195.2024.peg.528,E,-
fig|195.2024.peg.1447,M,-
fig|195.2024.peg.130,V,-
fig|195.2024.peg.720,G,-
fig|195.2024.peg.1391,P,-
fig|195.2024.peg.48,I,-
fig|195.2024.peg.149,V,-
fig|195.2024.peg.589,L,-
fig|195.2024.peg.21,H,-
fig|195.2024.peg.1047,U,-
fig|195.2024.peg.1119,S,-
fig|195.2024.peg.1090,J,-
fig|195.2024.peg.1398,HP,-
fig|195.2024.peg.878,C,-
fig|195.2024.peg.709,NU,-
fig|195.2024.peg.1002,J,-
fig|195.2024.peg.527,J,-
fig|195.2024.peg.352,J,-
fig|195.2024.peg.1558,E,-
fig|195.2024.peg.939,V,-
fig|195.2024.peg.1152,F,-
fig|195.2024.peg.1219,S,-
fig|195.2024.peg.1140,E,-
fig|195.2024.peg.828,S,-
fig|195.2024.peg.276,P,-
fig|195.2024.peg.465,P,-
fig|195.2024.peg.27,J,-
fig|195.2024.peg.1005,E,-
fig|195.2024.peg.459,M,"GO:0000271,GO:0003674,GO:0003824,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009987,GO:0016051,GO:0016740,GO:0016772,GO:0016779,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0071704,GO:1901135,GO:1901137,GO:1901576,GO:1903509"
fig|195.2024.peg.1615,J,-
fig|195.2024.peg.1697,J,-
fig|195.2024.peg.1373,J,-
fig|195.2024.peg.1548,F,-
fig|195.2024.peg.1083,J,-
fig|195.2024.peg.813,M,-
fig|195.2024.peg.1196,G,-
fig|195.2024.peg.876,C,-
fig|195.2024.peg.571,P,-
fig|195.2024.peg.788,P,-
fig|195.2024.peg.1188,K,-
fig|195.2024.peg.496,-,-
fig|195.2024.peg.763,F,-
fig|195.2024.peg.920,G,-
fig|195.2024.peg.648,D,-
fig|195.2024.peg.314,U,-
fig|195.2024.peg.1559,E,-
fig|195.2024.peg.106,O,-
fig|195.2024.peg.103,P,-
fig|195.2024.peg.865,M,-
fig|195.2024.peg.368,S,-
fig|195.2024.peg.925,H,-
fig|195.2024.peg.521,-,-
fig|195.2024.peg.1042,E,-
fig|195.2024.peg.681,G,-
fig|195.2024.peg.292,KT,-
fig|195.2024.peg.189,L,-
fig|195.2024.peg.324,H,-
fig|195.2024.peg.346,M,-
